feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
p__Firmicutes	Type	Plaque	0.165449458822341	0.171249246121537	32	32	0.341702230963997	0.683404461927994
p__Bacteroidetes	Type	Plaque	-0.00996306006095993	0.0768259068924049	32	32	0.897682378105573	0.897682378105573
