Taxon,pval,FDR
g__Slackia,0.008486247030436106,0.04121891414783251
g__Ralstonia,0.08782172054942816,0.12706121270981097
g__Mycolicibacterium,0.06495277456675426,0.11325099155228947
g__Bacteroides,0.047161706806839204,0.09033791726380466
g__Aeriscardovia,0.07734311068451724,0.11558970388015764
g__Lachnospiraceae_[G-7],0.01015372105430132,0.04724798708481535
g__Dietzia,0.04498453253283139,0.09033791726380466
g__Paenibacillus,0.07734311068451724,0.11558970388015764
g__Lachnospiraceae_[G-2],0.9693262277568349,0.9837937833949966
g__Desulfovibrio,0.047161706806839204,0.09033791726380466
g__Clostridiales_[F-1][G-2],0.07734311068451724,0.11558970388015764
g__Listeria,0.07734311068451724,0.11558970388015764
g__Ruminococcaceae_[G-2],0.8175043412833244,0.8487067970574971
g__Anaerolineae_[G-1],0.04498453253283139,0.09033791726380466
g__Propionibacteriaceae_[G-2],0.06495277456675426,0.11325099155228947
g__Kocuria,0.047161706806839204,0.09033791726380466
g__Clostridiales_[F-1][G-1],0.047161706806839204,0.09033791726380466
g__Mesorhizobium,0.07734311068451724,0.11558970388015764
g__Gracilibacteria_(GN02)_[G-2],0.17594405959705736,0.21364635808214105
g__Paracoccus,0.047161706806839204,0.09033791726380466
g__Fastidiosipila,0.047161706806839204,0.09033791726380466
g__Peptostreptococcaceae_[G-2],0.006236111932033058,0.036113817263458935
g__Janibacter,0.24674784235645258,0.2868180047904064
g__Propionibacteriaceae_[G-1],0.1887572577036387,0.22518409690960403
g__Erysipelothrix,0.4882089448221264,0.5187220038735093
g__Peptoniphilaceae_[G-3],0.07734311068451724,0.11558970388015764
g__Serratia,0.16978151990960158,0.21183749273124602
g__Saccharibacteria_(TM7)_[G-2],0.1887572577036387,0.22518409690960403
g__Enterococcus,0.047161706806839204,0.09033791726380466
g__Sneathia,0.17594405959705736,0.21364635808214105
