Description,ID,Feature,group,KO Description
2-Oxocarboxylic acid metabolism,ko01210,K01687,Plaque,ilvD; dihydroxy-acid dehydratase [EC:4.2.1.9]
2-Oxocarboxylic acid metabolism,ko01210,K00053,Plaque,ilvC; ketol-acid reductoisomerase [EC:1.1.1.86]
2-Oxocarboxylic acid metabolism,ko01210,K01703,Plaque,"leuC, IPMI-L; 3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit [EC:4.2.1.33 4.2.1.35]"
"Valine, leucine and isoleucine biosynthesis",ko00290,K01754,Plaque,"E4.3.1.19, ilvA, tdcB; threonine dehydratase [EC:4.3.1.19]"
"Valine, leucine and isoleucine biosynthesis",ko00290,K01653,Plaque,"E2.2.1.6S, ilvH, ilvN; acetolactate synthase I/III small subunit [EC:2.2.1.6]"
"Valine, leucine and isoleucine biosynthesis",ko00290,K00052,Plaque,"leuB, IMDH; 3-isopropylmalate dehydrogenase [EC:1.1.1.85]"
"Valine, leucine and isoleucine biosynthesis",ko00290,K01704,Plaque,"leuD, IPMI-S; 3-isopropylmalate/(R)-2-methylmalate dehydratase small subunit [EC:4.2.1.33 4.2.1.35]"
"Valine, leucine and isoleucine biosynthesis",ko00290,K00826,Plaque,"E2.6.1.42, ilvE; branched-chain amino acid aminotransferase [EC:2.6.1.42]"
"Valine, leucine and isoleucine biosynthesis",ko00290,K14260,Plaque,alaA; alanine-synthesizing transaminase [EC:2.6.1.66 2.6.1.2]
"Valine, leucine and isoleucine biosynthesis",ko00290,K01649,Plaque,"leuA, IMS; 2-isopropylmalate synthase [EC:2.3.3.13]"
"Valine, leucine and isoleucine biosynthesis",ko00290,K01687,Plaque,ilvD; dihydroxy-acid dehydratase [EC:4.2.1.9]
"Valine, leucine and isoleucine biosynthesis",ko00290,K00053,Plaque,ilvC; ketol-acid reductoisomerase [EC:1.1.1.86]
"Valine, leucine and isoleucine biosynthesis",ko00290,K01703,Plaque,"leuC, IPMI-L; 3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit [EC:4.2.1.33 4.2.1.35]"
