"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","group"
"ko00230...199","Metabolism","Nucleotide metabolism","ko00230","Purine metabolism","6/201","224/14535",0.0267857142857143,1.93696695095949,1.67347873238815,0.0910631200633562,0.275214404418794,0.221534814702435,"K02083/K18445/K01483/K00527/K02566/K13483",6,"Abscess"
"ko00622...200","Metabolism","Xenobiotics biodegradation and metabolism","ko00622","Xylene degradation","5/201","34/14535",0.147058823529412,10.634328358209,6.65991724480911,9.66159201202101e-05,0.00287432362357625,0.00231369703445766,"K00141/K04073/K16304/K01666/K18364",5,"Abscess"
"ko00640...201","Metabolism","Carbohydrate metabolism","ko00640","Propanoate metabolism","5/201","104/14535",0.0480769230769231,3.476607347876,3.0014597237391,0.0146906514909975,0.109261720464294,0.0879506109000509,"K13922/K01699/K13919/K13920/K00169",5,"Abscess"
"ko00920...202","Metabolism","Energy metabolism","ko00920","Sulfur metabolism","5/201","131/14535",0.0381679389312977,2.76005468839011,2.39622260310096,0.0354180561510241,0.175399812857434,0.141188703848089,"K20036/K17285/K21307/K21309/K15551",5,"Abscess"
"ko00541...203","Metabolism","Glycan biosynthesis and metabolism","ko00541","Biosynthesis of various nucleotide sugars","5/201","135/14535",0.037037037037037,2.67827529021559,2.31982778170294,0.0395109429819435,0.175399812857434,0.141188703848089,"K02805/K13014/K00972/K10012/K02377",5,"Abscess"
"ko01240...204","Metabolism","Global and overview maps","ko01240","Biosynthesis of cofactors","5/201","380/14535",0.0131578947368421,0.951492537313433,-0.113462494214341,0.607240142482324,0.749579006468624,0.603376290036663,"K00608/K04032/K09882/K06897/K09883",5,"Abscess"
"ko02030","Cellular Processes","Cell motility","ko02030","Bacterial chemotaxis","4/201","26/14535",0.153846153846154,11.1251435132032,6.11893764861983,0.000417985610812591,0.00710575538381405,0.0057198030953302,"K03408/K03406/K03415/K03409",4,"Abscess"
"ko00660","Metabolism","Carbohydrate metabolism","ko00660","C5-Branched dibasic acid metabolism","4/201","29/14535",0.137931034482759,9.97426659804426,5.7283696606987,0.000642879777275019,0.0095628366869659,0.00769763943842456,"K04835/K01846/K19268/K08691",4,"Abscess"
"ko00566",NA,NA,"ko00566","Sulfoquinovose metabolism","4/201","49/14535",0.0816326530612245,5.90313737435273,4.07103435613781,0.00462585505289978,0.0500433410268249,0.0402825655324287,"K16846/K18478/K16843/K15509",4,"Abscess"
"ko00360...208","Metabolism","Amino acid metabolism","ko00360","Phenylalanine metabolism","4/201","75/14535",0.0533333333333333,3.85671641791045,2.93711210056869,0.0201283959160312,0.12606732178988,0.101478339521265,"K10797/K04073/K01666/K11358",4,"Abscess"
"ko00350...209","Metabolism","Amino acid metabolism","ko00350","Tyrosine metabolism","4/201","85/14535",0.0470588235294118,3.40298507462687,2.6310767640996,0.0301782921793385,0.175399812857434,0.141188703848089,"K13954/K00505/K00483/K11358",4,"Abscess"
"ko02025...210","Cellular Processes","Cellular community - prokaryotes","ko02025","Biofilm formation","4/201","90/14535",0.0444444444444444,3.21393034825871,2.49478624993071,0.0361368144079855,0.175399812857434,0.141188703848089,"K02398/K18304/K18101/K13061",4,"Abscess"
"ko00030...211","Metabolism","Carbohydrate metabolism","ko00030","Pentose phosphate pathway","4/201","91/14535",0.043956043956044,3.17861243234378,2.46867455358053,0.0374042901437217,0.175399812857434,0.141188703848089,"K11214/K11645/K00090/K17463",4,"Abscess"
"ko00627...212","Metabolism","Xenobiotics biodegradation and metabolism","ko00627","Aminobenzoate degradation","4/201","91/14535",0.043956043956044,3.17861243234378,2.46867455358053,0.0374042901437217,0.175399812857434,0.141188703848089,"K01035/K00141/K16319/K21802",4,"Abscess"
"ko00010...213","Metabolism","Carbohydrate metabolism","ko00010","Glycolysis / Gluconeogenesis","4/201","108/14535",0.037037037037037,2.67827529021559,2.07297454288028,0.0628179281958464,0.233604170478304,0.188040508744145,"K13954/K00150/K11645/K00169",4,"Abscess"
"ko00240...214","Metabolism","Nucleotide metabolism","ko00240","Pyrimidine metabolism","4/201","114/14535",0.0350877192982456,2.53731343283582,1.95130009556875,0.0735034173245533,0.247929910531557,0.199572064204969,"K00608/K00527/K17722/K02566",4,"Abscess"
"ko00362...215","Metabolism","Xenobiotics biodegradation and metabolism","ko00362","Benzoate degradation","4/201","116/14535",0.0344827586206897,2.49356664951107,1.91246254231183,0.0772580303477094,0.247929910531557,0.199572064204969,"K07535/K04073/K01666/K18364",4,"Abscess"
