Description,ID,Feature,group,KO Description
Biosynthesis of cofactors,ko01240,K13940,Plaque,sulD; dihydroneopterin aldolase / 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase [EC:4.1.2.25 2.7.6.3]
Biosynthesis of cofactors,ko01240,K02170,Plaque,bioH; pimeloyl-[acyl-carrier protein] methyl ester esterase [EC:3.1.1.85]
Biosynthesis of cofactors,ko01240,K00568,Plaque,ubiG; 2-polyprenyl-6-hydroxyphenyl methylase / 3-demethylubiquinone-9 3-methyltransferase [EC:2.1.1.222 2.1.1.64]
Biosynthesis of cofactors,ko01240,K03342,Plaque,pabBC; para-aminobenzoate synthetase / 4-amino-4-deoxychorismate lyase [EC:2.6.1.85 4.1.3.38]
Oxidative phosphorylation,ko00190,K00406,Plaque,ccoP; cytochrome c oxidase cbb3-type subunit III
Oxidative phosphorylation,ko00190,K03889,Plaque,qcrC; quinol---cytochrome-c reductase cytochrome c subunit [EC:7.1.1.8]
Oxidative phosphorylation,ko00190,K03890,Plaque,qcrA; quinol---cytochrome c reductase iron-sulfur subunit [EC:7.1.1.8]
Oxidative phosphorylation,ko00190,K03891,Plaque,qcrB; quinol---cytochrome-c reductase cytochrome b subunit [EC:7.1.1.8]
Oxidative phosphorylation,ko00190,K00332,Plaque,nuoC; NADH-quinone oxidoreductase subunit C [EC:7.1.1.2]
Oxidative phosphorylation,ko00190,K00413,Plaque,"CYC1, CYT1, petC; ubiquinol-cytochrome c reductase cytochrome c1 subunit"
Oxidative phosphorylation,ko00190,K00412,Plaque,"CYTB, petB; ubiquinol-cytochrome c reductase cytochrome b subunit"
Oxidative phosphorylation,ko00190,K00405,Plaque,ccoO; cytochrome c oxidase cbb3-type subunit II
Oxidative phosphorylation,ko00190,K00407,Plaque,ccoQ; cytochrome c oxidase cbb3-type subunit IV
Oxidative phosphorylation,ko00190,K02119,Plaque,"ATPVC, ntpC, atpC; V/A-type H+/Na+-transporting ATPase subunit C"
Oxidative phosphorylation,ko00190,K00404,Plaque,ccoN; cytochrome c oxidase cbb3-type subunit I [EC:7.1.1.9]
Oxidative phosphorylation,ko00190,K00411,Plaque,"UQCRFS1, RIP1, petA; ubiquinol-cytochrome c reductase iron-sulfur subunit [EC:7.1.1.8]"
Oxidative phosphorylation,ko00190,K00242,Plaque,"sdhD, frdD; succinate dehydrogenase membrane anchor subunit"
Oxidative phosphorylation,ko00190,K02122,Plaque,"ATPVF, ntpF, atpF; V/A-type H+/Na+-transporting ATPase subunit F"
Oxidative phosphorylation,ko00190,K22468,Plaque,ppk2; polyphosphate kinase [EC:2.7.4.34]
Oxidative phosphorylation,ko00190,K00335,Plaque,nuoF; NADH-quinone oxidoreductase subunit F [EC:7.1.1.2]
Oxidative phosphorylation,ko00190,K00247,Plaque,frdD; succinate dehydrogenase subunit D
Starch and sucrose metabolism,ko00500,K06896,Plaque,mapP; maltose 6'-phosphate phosphatase [EC:3.1.3.90]
Starch and sucrose metabolism,ko00500,K16146,Plaque,pep2; maltokinase [EC:2.7.1.175]
Starch and sucrose metabolism,ko00500,K20108,Plaque,malT; maltose PTS system EIICB or EIICBA component [EC:2.7.1.208]
Starch and sucrose metabolism,ko00500,K02438,Plaque,glgX; glycogen debranching enzyme [EC:3.2.1.196]
Starch and sucrose metabolism,ko00500,K01208,Plaque,"cd, ma, nplT; cyclomaltodextrinase / maltogenic alpha-amylase / neopullulanase [EC:3.2.1.54 3.2.1.133 3.2.1.135]"
Starch and sucrose metabolism,ko00500,K16148,Plaque,glgM; alpha-maltose-1-phosphate synthase [EC:2.4.1.342]
Starch and sucrose metabolism,ko00500,K13057,Plaque,treT; trehalose synthase [EC:2.4.1.245]
Starch and sucrose metabolism,ko00500,K18775,Plaque,lf2; levanbiose-producing levanase [EC:3.2.1.64]
Starch and sucrose metabolism,ko00500,K00689,Plaque,E2.4.1.5; dextransucrase [EC:2.4.1.5]
Starch and sucrose metabolism,ko00500,K15778,Plaque,pmm-pgm; phosphomannomutase / phosphoglucomutase [EC:5.4.2.8 5.4.2.2]
Starch and sucrose metabolism,ko00500,K05341,Plaque,E2.4.1.4; amylosucrase [EC:2.4.1.4]
Starch and sucrose metabolism,ko00500,K01236,Plaque,"treZ, glgZ; maltooligosyltrehalose trehalohydrolase [EC:3.2.1.141]"
Starch and sucrose metabolism,ko00500,K01212,Plaque,"sacC, levB; levanase [EC:3.2.1.65]"
Starch and sucrose metabolism,ko00500,K01200,Plaque,pulA; pullulanase [EC:3.2.1.41]
Starch and sucrose metabolism,ko00500,K00690,Plaque,E2.4.1.7; sucrose phosphorylase [EC:2.4.1.7]
Amino sugar and nucleotide sugar metabolism,ko00520,K00992,Plaque,murU; N-acetyl-alpha-D-muramate 1-phosphate uridylyltransferase [EC:2.7.7.99]
Amino sugar and nucleotide sugar metabolism,ko00520,K22292,Plaque,mupP; N-acetyl-D-muramate 6-phosphate phosphatase [EC:3.1.3.105]
Amino sugar and nucleotide sugar metabolism,ko00520,K02793,Plaque,manXa; mannose PTS system EIIA component [EC:2.7.1.191]
Amino sugar and nucleotide sugar metabolism,ko00520,K02796,Plaque,manZ; mannose PTS system EIID component
Amino sugar and nucleotide sugar metabolism,ko00520,K02795,Plaque,manY; mannose PTS system EIIC component
Amino sugar and nucleotide sugar metabolism,ko00520,K07102,Plaque,amgK; N-acetylmuramate 1-kinase [EC:2.7.1.221]
Amino sugar and nucleotide sugar metabolism,ko00520,K02794,Plaque,manX; mannose PTS system EIIAB component [EC:2.7.1.191]
Amino sugar and nucleotide sugar metabolism,ko00520,K02473,Plaque,wbpP; UDP-N-acetylglucosamine/UDP-N-acetyl-alpha-D-glucosaminouronate 4-epimerase [EC:5.1.3.7 5.1.3.45]
Amino sugar and nucleotide sugar metabolism,ko00520,K00886,Plaque,ppgK; polyphosphate glucokinase [EC:2.7.1.63]
Amino sugar and nucleotide sugar metabolism,ko00520,K00066,Plaque,algD; GDP-mannose 6-dehydrogenase [EC:1.1.1.132]
Amino sugar and nucleotide sugar metabolism,ko00520,K15778,Plaque,pmm-pgm; phosphomannomutase / phosphoglucomutase [EC:5.4.2.8 5.4.2.2]
Amino sugar and nucleotide sugar metabolism,ko00520,K02744,Plaque,agaF; N-acetylgalactosamine PTS system EIIA component [EC:2.7.1.-]
Amino sugar and nucleotide sugar metabolism,ko00520,K09001,Plaque,anmK; anhydro-N-acetylmuramic acid kinase [EC:2.7.1.170]
Amino sugar and nucleotide sugar metabolism,ko00520,K00965,Plaque,"galT, GALT; UDPglucose--hexose-1-phosphate uridylyltransferase [EC:2.7.7.12]"
Amino sugar and nucleotide sugar metabolism,ko00520,K02746,Plaque,agaW; N-acetylgalactosamine PTS system EIIC component
Biosynthesis of nucleotide sugars,ko01250,K13020,Plaque,"wlbA, bplA; UDP-N-acetyl-2-amino-2-deoxyglucuronate dehydrogenase [EC:1.1.1.335]"
Biosynthesis of nucleotide sugars,ko01250,K00992,Plaque,murU; N-acetyl-alpha-D-muramate 1-phosphate uridylyltransferase [EC:2.7.7.99]
Biosynthesis of nucleotide sugars,ko01250,K22292,Plaque,mupP; N-acetyl-D-muramate 6-phosphate phosphatase [EC:3.1.3.105]
Biosynthesis of nucleotide sugars,ko01250,K07102,Plaque,amgK; N-acetylmuramate 1-kinase [EC:2.7.1.221]
Biosynthesis of nucleotide sugars,ko01250,K00523,Plaque,"ascD, ddhD, rfbI; CDP-4-dehydro-6-deoxyglucose reductase, E3 [EC:1.17.1.1]"
