Rank,taxon,Maaslin2_coef,Maaslin2_pval,Maaslin2_qval,Maaslin2_value,ANCOMBC2_DFF,ANCOMBC2_LFC,ANCOMBC2_p_val,ANCOMBC2_q_val,ANCOMBC2_passed_SS,Aldex2_Enrichment,Aldex2_EF,Aldex2_padj,confidence,all_positive_or_negative
species,Absconditabacteria SR1 G1 bacterium HMT 874,1.042405241853699,0.01222046490082036,0.03906845597080448,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
species,Actinomyces dentalis,NA,NA,NA,NA,TRUE,1.5008226403765106,3.0804915058240236e-4,0.03665784891930588,FALSE,NA,NA,NA,Low,TRUE
species,Actinomyces massiliensis,1.3751025360862774,0.0012044592430157583,0.010136103590942927,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
species,Actinomyces oris,2.4971088586031347,0.00618412856041733,0.02461983257071805,Plaque,TRUE,2.3875159562080204,6.157941691321949e-8,8.43638011711107e-6,FALSE,NA,NA,NA,Medium,TRUE
species,Actinomyces sp HMT 169,1.1710279544651025,0.003811089121386588,0.017921907309900873,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
species,Aggregatibacter sp HMT 458,1.016793479175848,0.0034284996862911886,0.017921907309900873,Plaque,TRUE,1.140487068915324,2.5876306880224885e-4,0.03156909439387436,FALSE,NA,NA,NA,Medium,TRUE
species,Alloprevotella rava,-1.1243492205010692,0.009230125586075439,0.033009432180710466,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
species,Alloprevotella sp HMT 473,2.3656122986666435,0.0023111163504700985,0.014777137877248204,Plaque,TRUE,2.207219964012769,4.32602660438411e-6,5.840135915918549e-4,FALSE,NA,NA,NA,Medium,TRUE
species,Alloprevotella sp HMT 912,NA,NA,NA,NA,TRUE,1.4692848795238926,2.479271893176275e-4,0.030495044286068182,FALSE,NA,NA,NA,Low,TRUE
species,Alloprevotella sp HMT 914,0.7920635743496341,0.0024663260404047625,0.015305729250747203,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
species,Alloprevotella tannerae,-3.3153187538210473,2.731505164652688e-4,0.003921761683329474,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
species,Arachnia propionica,1.3164667432800874,0.011148243477584122,0.03733144666293294,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
species,Bacteroidales G2 bacterium HMT 274,NA,NA,NA,NA,TRUE,-1.6902954819746592,7.430374675790484e-5,0.00965948707852763,FALSE,NA,NA,NA,Low,TRUE
species,Capnocytophaga granulosa,2.014138944453387,0.0015824820092792962,0.011925132284211838,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
species,Capnocytophaga sputigena,2.3422062387279436,1.2471984052469915e-4,0.0029382086118023543,Plaque,NA,NA,NA,NA,NA,Plaque,0.8307361335452347,0.03858191510862405,Medium,TRUE
species,Cardiobacterium hominis,2.1379594177606194,0.0046662853942354456,0.019766339286102236,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
species,Corynebacterium durum,2.087208929420035,2.5362726655451807e-4,0.003921761683329474,Plaque,TRUE,1.3636975758024144,3.0282236949968314e-4,0.03633868433996198,FALSE,NA,NA,NA,Medium,TRUE
species,Corynebacterium matruchotii,1.8808366967793653,6.33306922896073e-4,0.007423764485059521,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
species,Dialister invisus,-3.5187231332807607,8.775701623655112e-5,0.002645247203701755,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
species,Dialister pneumosintes,-2.195810011667202,0.003500924789040807,0.017921907309900873,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
