"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","group"
"ko00030...65","Metabolism","Carbohydrate metabolism","ko00030","Pentose phosphate pathway","1/72","91/14535",0.010989010989011,2.21840659340659,0.822619177429813,0.36447417953693,0.459798195723512,0.289218377284366,"K00036",1,"Plaque"
"ko00040...66","Metabolism","Carbohydrate metabolism","ko00040","Pentose and glucuronate interconversions","1/72","96/14535",0.0104166666666667,2.10286458333333,0.764925046652463,0.380158946389677,0.472318690968993,0.297093913446478,"K00963",1,"Plaque"
"ko00760","Metabolism","Metabolism of cofactors and vitamins","ko00760","Nicotinate and nicotinamide metabolism","1/72","98/14535",0.0102040816326531,2.05994897959184,0.742829519152842,0.386325415486436,0.472816180147579,0.297406839887437,"K06211",1,"Plaque"
"ko04068","Environmental Information Processing","Signal transduction","ko04068","FoxO signaling pathway","1/72","103/14535",0.00970873786407767,1.95995145631068,0.689817578301245,0.401478165461558,0.480667527670287,0.302345428187986,"K04564",1,"Plaque"
"ko00640","Metabolism","Carbohydrate metabolism","ko00640","Propanoate metabolism","1/72","104/14535",0.00961538461538462,1.94110576923077,0.679573640707016,0.404464139137193,0.480667527670287,0.302345428187986,"K13788",1,"Plaque"
"ko05111...70","Cellular Processes","Cellular community - prokaryotes","ko05111","Biofilm formation","1/72","106/14535",0.00943396226415094,1.90448113207547,0.659422802371551,0.410392085105341,0.480745013980542,0.302394167972356,"K00640",1,"Plaque"
"ko00330","Metabolism","Amino acid metabolism","ko00330","Arginine and proline metabolism","1/72","115/14535",0.00869565217391304,1.7554347826087,0.57384275157357,0.436355762290226,0.493314330497875,0.310300413278509,"K13821",1,"Plaque"
"ko00650...72","Metabolism","Carbohydrate metabolism","ko00650","Butanoate metabolism","1/72","115/14535",0.00869565217391304,1.7554347826087,0.57384275157357,0.436355762290226,0.493314330497875,0.310300413278509,"K01653",1,"Plaque"
"ko00362","Metabolism","Xenobiotics biodegradation and metabolism","ko00362","Benzoate degradation","1/72","116/14535",0.00862068965517241,1.74030172413793,0.564806671004346,0.439170074711523,0.493314330497875,0.310300413278509,"K01607",1,"Plaque"
"ko00541","Metabolism","Glycan biosynthesis and metabolism","ko00541","Biosynthesis of various nucleotide sugars","1/72","135/14535",0.00740740740740741,1.49537037037037,0.407986034950758,0.490084184101655,0.543066258058591,0.341594950511822,"K00963",1,"Plaque"
"ko05415","Human Diseases","Cardiovascular disease","ko05415","Diabetic cardiomyopathy","1/72","160/14535",0.00625,1.26171875,0.234866207502337,0.550189091858008,0.593625072794166,0.37339702910031,"K00036",1,"Plaque"
"ko05417","Human Diseases","Cardiovascular disease","ko05417","Lipid and atherosclerosis","1/72","160/14535",0.00625,1.26171875,0.234866207502337,0.550189091858008,0.593625072794166,0.37339702910031,"K04564",1,"Plaque"
"ko05208...77","Human Diseases","Cancer: overview","ko05208","Chemical carcinogenesis","1/72","175/14535",0.00571428571428571,1.15357142857143,0.144205512276631,0.582839400672885,0.620686115002293,0.390418737292841,"K04564",1,"Plaque"
"ko03010","Genetic Information Processing","Translation","ko03010","Ribosome","1/72","201/14535",0.00497512437810945,1.00435323383085,0.00438486227714637,0.633987653235991,0.666499840581427,0.419236099980615,"K02913",1,"Plaque"
"ko01220","Metabolism","Global and overview maps","ko01220","Degradation of aromatic compounds","1/72","215/14535",0.00465116279069767,0.938953488372093,-0.0636265252258021,0.6589137159779,0.683935755825162,0.430203492110821,"K01607",1,"Plaque"
"ko01250...80","Metabolism","Global and overview maps","ko01250","Biosynthesis of nucleotide sugars","1/72","221/14535",0.00452488687782805,0.913461538461539,-0.0914648936173747,0.669076745272227,0.685803663904032,0.431378427872883,"K00963",1,"Plaque"
"ko05016","Human Diseases","Neurodegenerative disease","ko05016","Huntington disease","1/72","229/14535",0.00436681222707424,0.881550218340611,-0.127474268467653,0.682164254100246,0.690586035015064,0.434386594553763,"K04564",1,"Plaque"
"ko02024","Cellular Processes","Cellular community - prokaryotes","ko02024","Quorum sensing","1/72","283/14535",0.00353356890459364,0.713339222614841,-0.343600049915209,0.758089650099218,0.758089650099218,0.476847148329418,"K01657",1,"Plaque"
"ko02040","Cellular Processes","Cell motility","ko02040","Flagellar assembly","31/72","55/14535",0.563636363636364,113.784090909091,59.1254610272657,4.06400409522233e-60,2.47904249808562e-58,2.05339154284918e-58,"K02399/K02407/K02410/K02396/K02411/K02400/K02387/K02389/K02392/K02556/K02422/K02412/K02419/K02413/K02397/K02416/K02421/K02391/K02420/K02417/K02408/K02414/K02409/K02406/K02390/K02388/K02398/K02405/K02401/K02418/K02415",31,"Abscess"
"ko02030","Cellular Processes","Cell motility","ko02030","Bacterial chemotaxis","10/72","26/14535",0.384615384615385,77.6442307692308,27.5979635367058,2.31476857329665e-17,7.06004414855479e-16,5.8478363956968e-16,"K03412/K03407/K00575/K03408/K02410/K02556/K03409/K02416/K03406/K02417",10,"Abscess"
"ko01200...85","Metabolism","Global and overview maps","ko01200","Carbon metabolism","6/72","382/14535",0.0157068062827225,3.17081151832461,3.03360602667054,0.01152801427922,0.100458410147489,0.0832097271282045,"K03737/K00844/K00874/K00282/K00283/K01006",6,"Abscess"
"ko00900...86","Metabolism","Metabolism of terpenoids and polyketides","ko00900","Terpenoid backbone biosynthesis","3/72","64/14535",0.046875,9.462890625,4.78728272215547,0.0039112879105913,0.0613819208517673,0.0508426609298504,"K12506/K00804/K00919",3,"Abscess"
"ko00670...87","Metabolism","Metabolism of cofactors and vitamins","ko00670","One carbon pool by folate","3/72","65/14535",0.0461538461538462,9.31730769230769,4.74170808597319,0.00408611123886236,0.0613819208517673,0.0508426609298504,"K00282/K00283/K03465",3,"Abscess"
"ko00910...88","Metabolism","Energy metabolism","ko00910","Nitrogen metabolism","3/72","70/14535",0.0428571428571429,8.65178571428572,4.52774785302835,0.00503130498784978,0.0613819208517673,0.0508426609298504,"K00266/K02588/K05601",3,"Abscess"
"ko00010...89","Metabolism","Carbohydrate metabolism","ko00010","Glycolysis / Gluconeogenesis","3/72","108/14535",0.0277777777777778,5.60763888888889,3.39103232724016,0.0164226049408989,0.125222362674354,0.103721715416203,"K03737/K00844/K01006",3,"Abscess"
"ko00240...90","Metabolism","Nucleotide metabolism","ko00240","Pyrimidine metabolism","3/72","114/14535",0.0263157894736842,5.3125,3.26147067787414,0.0189422200714806,0.128386158262257,0.106342288120593,"K02823/K17828/K03465",3,"Abscess"
"ko00270...91","Metabolism","Amino acid metabolism","ko00270","Cysteine and methionine metabolism","3/72","128/14535",0.0234375,4.7314453125,2.99174739004177,0.0256111229543948,0.142025318201644,0.117639607828799,"K23976/K08963/K00899",3,"Abscess"
"ko01230...92","Metabolism","Global and overview maps","ko01230","Biosynthesis of amino acids","3/72","241/14535",0.012448132780083,2.51296680497925,1.6710546952296,0.117263458235082,0.358528181310725,0.296968985382481,"K10206/K00266/K13832",3,"Abscess"
"ko00785...93","Metabolism","Metabolism of cofactors and vitamins","ko00785","Lipoic acid metabolism","2/72","31/14535",0.0645161290322581,13.0241935483871,4.72849073815878,0.0102550474926135,0.100458410147489,0.0832097271282045,"K00282/K00283",2,"Abscess"
"ko00440","Metabolism","Metabolism of other amino acids","ko00440","Phosphonate and phosphinate metabolism","2/72","47/14535",0.0425531914893617,8.59042553191489,3.67739657465846,0.0226596754181101,0.138224020050471,0.11449099158624,"K09459/K23999",2,"Abscess"
"ko02026","Cellular Processes","Cellular community - prokaryotes","ko02026","Biofilm formation","2/72","61/14535",0.0327868852459016,6.61885245901639,3.10275793428392,0.0367017714410012,0.186567338158423,0.154533774488426,"K02398/K02405",2,"Abscess"
"ko00250...96","Metabolism","Amino acid metabolism","ko00250","Alanine, aspartate and glutamate metabolism","2/72","70/14535",0.0285714285714286,5.76785714285714,2.82125712195699,0.0470835268777585,0.220930395349482,0.182996703654446,"K00266/K01779",2,"Abscess"
