taxon,Maaslin2_coef,Maaslin2_pval,Maaslin2_qval,Maaslin2_value,ANCOMBC2_DFF,ANCOMBC2_LFC,ANCOMBC2_p_val,ANCOMBC2_q_val,ANCOMBC2_passed_SS,Aldex2_Enrichment,Aldex2_EF,Aldex2_padj,confidence,all_positive_or_negative
Absconditabacteria SR1,1.101631734163077,0.02103728060664041,0.04521541568985325,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
Gracilibacteria GN02,0.9289309594339038,0.02466295401264723,0.04521541568985325,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
Proteobacteria,1.336386338186163,0.004960786442502468,0.018189550289175713,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
Spirochaetes,-4.1522871815255655,5.501623806989616e-6,6.0517861876885775e-5,Plaque,TRUE,-2.6048040725012256,5.350636752388208e-4,0.0042805094019105665,TRUE,Abscess,-0.7994085468160397,0.0018884472419336388,High,TRUE
Synergistetes,-2.3183928457531353,8.886626241025003e-4,0.004887644432563751,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
Tenericutes,-1.2230049491501325,0.016989902741871767,0.04521541568985325,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
