OTU_ID	100-A	100-P	71-A	71-P	72-A	72-P	73-A	73-P	74-A	74-P	75-A	75-P	76-A	76-P	77-A	77-P	78-A	78-P	79-A	79-P	80-A	80-P	81-A	81-P	82-A	82-P	83-A	83-P	84-A	84-P	85-A	85-P	88-A	88-P	89-A	89-P	90-A	90-P	91-A	91-P	93-A	93-P	94-A	94-P	95-A	95-P	96-A	96-P	97-A	97-P	taxonomy
0	386	3234	136	1535	196	554	323	805	672	2385	0	1668	0	123	0	260	117	1014	68	1864	0	61	943	0	1893	2479	931	0	70	2496	848	2693	1805	3100	49	2182	25	662	306	415	7448	4060	0	4507	98	143	105	1010	117	6362	D_0__k__Bacteria; D_1__p__Firmicutes; D_2__c__Bacilli; D_3__o__Lactobacillales; D_4__f__Streptococcaceae; D_5__g__Streptococcus; D_6__g__Streptococcus_s__oralis_subsp._dentisani_clade_058
1	326	2584	112	1362	154	416	237	623	509	1959	0	1390	30	95	0	219	85	891	41	1426	0	49	710	20	1699	2012	603	0	94	2206	1316	2069	1921	2851	34	1917	9	566	258	412	6249	3266	0	3935	84	137	87	890	118	4942	D_0__k__Bacteria; D_1__p__Firmicutes; D_2__c__Bacilli; D_3__o__Lactobacillales; D_4__f__Streptococcaceae; D_5__g__Streptococcus; D_6__g__Streptococcus_s__oralis_subsp._dentisani_clade_058
2	0	1643	0	250	52	102	144	1701	0	1718	0	687	39	165	0	0	0	80	72	1699	0	39	0	0	0	108	0	0	37	3531	0	808	52	1035	0	716	42	238	0	48	97	228	0	304	1252	153	88	610	0	416	D_0__k__Bacteria; D_1__p__Firmicutes; D_2__c__Bacilli; D_3__o__Lactobacillales; D_4__f__Streptococcaceae; D_5__g__Streptococcus; D_6__g__Streptococcus_s__sanguinis
3	0	1315	0	166	60	112	114	1367	0	1917	0	542	0	123	0	0	0	64	0	1392	0	0	0	0	0	64	0	0	55	3108	0	650	110	927	0	554	48	232	0	48	71	232	0	313	1180	99	81	562	0	304	D_0__k__Bacteria; D_1__p__Firmicutes; D_2__c__Bacilli; D_3__o__Lactobacillales; D_4__f__Streptococcaceae; D_5__g__Streptococcus; D_6__g__Streptococcus_s__sanguinis
4	0	0	0	73	45	0	0	567	0	0	458	287	0	247	0	0	0	62	0	109	0	0	0	0	0	100	0	0	23	1712	0	257	0	170	0	81	138	209	0	89	113	131	0	0	4121	8887	77	302	0	386	D_0__k__Bacteria; D_1__p__Proteobacteria; D_2__c__Betaproteobacteria; D_3__o__Burkholderiales; D_4__f__Burkholderiaceae; D_5__g__Lautropia; D_6__g__Lautropia_s__mirabilis
5	0	0	0	1364	122	67	864	2057	0	0	0	126	0	57	0	144	30	263	33	136	0	0	86	0	0	1173	0	0	39	2522	0	0	0	488	0	766	625	1005	0	0	488	1033	0	0	446	231	0	434	0	2500	D_0__k__Bacteria; D_1__p__Proteobacteria; D_2__c__Betaproteobacteria; D_3__o__Neisseriales; D_4__f__Neisseriaceae; D_5__g__Neisseria; D_6__g__Neisseria_s__flava
6	0	0	0	0	46	0	43	451	0	0	443	239	0	200	0	0	0	0	0	77	0	18	0	0	0	84	0	0	0	1490	0	183	0	156	0	0	104	138	0	67	91	172	0	0	3538	7217	0	276	0	252	D_0__k__Bacteria; D_1__p__Proteobacteria; D_2__c__Betaproteobacteria; D_3__o__Burkholderiales; D_4__f__Burkholderiaceae; D_5__g__Lautropia; D_6__g__Lautropia_s__mirabilis
7	0	0	0	1271	100	0	714	1651	0	0	0	97	0	57	0	126	0	250	24	87	0	0	84	0	0	859	0	0	0	2252	0	0	0	523	0	627	533	818	0	0	376	945	0	0	449	208	0	355	0	1885	D_0__k__Bacteria; D_1__p__Proteobacteria; D_2__c__Betaproteobacteria; D_3__o__Neisseriales; D_4__f__Neisseriaceae; D_5__g__Neisseria; D_6__g__Neisseria_s__flava
8	0	388	0	165	30	23	111	612	0	0	157	179	0	140	0	60	0	98	86	1922	0	0	0	0	0	195	0	0	64	1719	0	150	169	320	0	118	44	500	44	36	838	1327	0	422	924	1484	25	237	0	1029	D_0__k__Bacteria; D_1__p__Proteobacteria; D_2__c__Gammaproteobacteria; D_3__o__Pasteurellales; D_4__f__Pasteurellaceae; D_5__g__Haemophilus; D_6__g__Haemophilus_s__parainfluenzae
9	199	0	0	28	52	150	0	0	0	0	917	23	0	0	0	0	0	0	0	0	0	0	72	0	0	53	0	5158	3669	0	0	61	0	0	49	36	30	0	0	0	0	215	0	301	0	0	0	0	67	0	D_0__k__Bacteria; D_1__p__Firmicutes; D_2__c__Bacilli; D_3__o__Lactobacillales; D_4__f__Streptococcaceae; D_5__g__Streptococcus; D_6__g__Streptococcus_s__anginosus
10	0	253	0	420	0	590	0	905	0	0	41	1058	0	0	0	527	0	1035	0	160	0	0	725	0	0	1474	0	0	416	246	0	19	282	390	0	169	317	419	347	392	198	445	0	0	0	0	0	0	87	601	D_0__k__Bacteria; D_1__p__Fusobacteria; D_2__c__Fusobacteriia; D_3__o__Fusobacteriales; D_4__f__Fusobacteriaceae; D_5__g__Fusobacterium; D_6__g__Fusobacterium_s__nucleatum
11	0	278	0	174	27	0	113	460	0	0	100	95	0	138	0	51	45	87	68	1667	0	0	0	0	0	120	0	0	0	1420	0	240	169	380	0	82	0	391	0	0	735	1039	0	380	795	987	0	159	0	668	D_0__k__Bacteria; D_1__p__Proteobacteria; D_2__c__Gammaproteobacteria; D_3__o__Pasteurellales; D_4__f__Pasteurellaceae; D_5__g__Haemophilus; D_6__g__Haemophilus_s__parainfluenzae
12	0	202	0	353	0	538	0	753	0	0	46	887	0	0	0	412	0	917	0	154	0	0	633	0	0	1051	0	0	944	252	0	16	365	321	0	156	293	343	273	335	209	303	0	0	19	0	0	0	0	522	D_0__k__Bacteria; D_1__p__Fusobacteria; D_2__c__Fusobacteriia; D_3__o__Fusobacteriales; D_4__f__Fusobacteriaceae; D_5__g__Fusobacterium; D_6__g__Fusobacterium_s__nucleatum
13	275	0	0	18	0	136	0	0	0	0	1075	40	0	0	0	0	0	0	0	0	0	0	109	0	0	51	0	5150	1610	0	0	71	0	0	48	23	33	0	0	0	0	237	0	290	0	0	0	0	85	0	D_0__k__Bacteria; D_1__p__Firmicutes; D_2__c__Bacilli; D_3__o__Lactobacillales; D_4__f__Streptococcaceae; D_5__g__Streptococcus; D_6__g__Streptococcus_s__anginosus
14	382	5858	0	0	0	0	0	0	0	0	0	292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	2917	0	0	D_0__k__Bacteria; D_1__p__Proteobacteria; D_2__c__Betaproteobacteria; D_3__o__Neisseriales; D_4__f__Neisseriaceae; D_5__g__Neisseria; D_6__g__Neisseria_s__flava
15	0	0	3075	91	2723	0	55	63	0	0	0	100	57	77	0	45	0	0	0	0	114	0	24	146	0	86	0	0	0	0	0	0	558	0	0	0	331	0	89	0	0	0	1815	0	0	0	0	0	0	0	D_0__k__Bacteria; D_1__p__Fusobacteria; D_2__c__Fusobacteriia; D_3__o__Fusobacteriales; D_4__f__Fusobacteriaceae; D_5__g__Fusobacterium; D_6__g__Fusobacterium_s__nucleatum
16	1256	455	463	467	1088	106	727	0	0	0	0	0	0	0	0	592	0	0	17	267	0	0	10	0	0	0	742	0	0	0	0	0	936	0	116	68	28	0	0	0	978	508	0	0	0	0	195	40	44	0	D_0__k__Bacteria; D_1__p__Firmicutes; D_2__c__Bacilli; D_3__o__Lactobacillales; D_4__f__Streptococcaceae; D_5__g__Streptococcus; D_6__g__Streptococcus_s__mutans
17	0	227	46	299	51	0	0	1038	0	0	0	227	0	0	0	0	0	23	0	0	0	0	0	0	0	44	0	0	0	78	0	0	132	3076	0	0	0	0	104	881	0	371	0	0	0	0	0	0	0	0	D_0__k__Bacteria; D_1__p__Fusobacteria; D_2__c__Fusobacteriia; D_3__o__Fusobacteriales; D_4__f__Leptotrichiaceae; D_5__g__Leptotrichia; D_6__g__Leptotrichia_s__shahii
18	0	1229	0	0	129	0	0	536	0	0	0	0	0	0	0	0	0	0	62	543	0	51	0	0	0	128	0	0	0	0	0	932	0	555	0	0	0	0	36	65	89	319	0	205	0	0	90	183	0	0	D_0__k__Bacteria; D_1__p__Proteobacteria; D_2__c__Betaproteobacteria; D_3__o__Burkholderiales; D_4__f__Burkholderiaceae; D_5__g__Lautropia; D_6__g__Lautropia_s__mirabilis
19	0	0	2654	114	2506	0	78	55	0	0	0	70	45	95	0	0	0	0	0	0	100	0	25	162	0	74	0	0	0	0	0	0	533	0	0	0	263	0	57	0	0	0	2254	0	0	0	0	0	0	0	D_0__k__Bacteria; D_1__p__Fusobacteria; D_2__c__Fusobacteriia; D_3__o__Fusobacteriales; D_4__f__Fusobacteriaceae; D_5__g__Fusobacterium; D_6__g__Fusobacterium_s__nucleatum
20	0	0	629	895	0	2330	58	0	0	0	1005	988	0	0	0	0	0	0	772	12	226	0	0	0	523	0	0	0	730	0	0	0	30	0	51	60	108	0	0	0	0	0	0	0	351	0	0	0	361	0	D_0__k__Bacteria; D_1__p__Firmicutes; D_2__c__Clostridia; D_3__o__Eubacteriales; D_4__f__Peptostreptococcaceae; D_5__g__Peptostreptococcus; D_6__g__Peptostreptococcus_s__stomatis
21	0	0	570	838	44	2041	52	13	0	0	886	844	0	0	0	4	33	31	637	0	159	0	0	0	459	0	0	0	1510	0	0	0	36	0	34	62	116	0	0	12	0	0	0	37	298	0	0	0	256	0	D_0__k__Bacteria; D_1__p__Firmicutes; D_2__c__Clostridia; D_3__o__Eubacteriales; D_4__f__Peptostreptococcaceae; D_5__g__Peptostreptococcus; D_6__g__Peptostreptococcus_s__stomatis
22	0	0	0	0	0	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	D_0__k__Bacteria; D_1__p__Firmicutes; D_2__c__Bacilli; D_3__o__Lactobacillales; D_4__f__Lactobacillaceae; D_5__g__Limosilactobacillus; D_6__g__Limosilactobacillus_s__fermentum
23	0	172	42	235	0	0	0	847	0	0	0	222	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	118	2790	0	0	0	0	81	758	0	382	0	0	0	0	0	42	0	0	D_0__k__Bacteria; D_1__p__Fusobacteria; D_2__c__Fusobacteriia; D_3__o__Fusobacteriales; D_4__f__Leptotrichiaceae; D_5__g__Leptotrichia; D_6__g__Leptotrichia_s__shahii
24	9	0	73	306	0	1545	28	26	0	0	3224	487	92	49	0	0	0	0	139	0	488	0	138	0	0	0	0	0	114	0	0	0	91	0	0	0	0	0	630	0	0	0	0	76	182	0	0	0	327	0	D_0__k__Bacteria; D_1__p__Fusobacteria; D_2__c__Fusobacteriia; D_3__o__Fusobacteriales; D_4__f__Fusobacteriaceae; D_5__g__Fusobacterium; D_6__g__Fusobacterium_s__nucleatum
25	915	332	459	404	991	127	608	48	0	0	0	31	0	0	0	461	0	0	0	252	0	0	0	0	0	0	505	0	0	0	0	0	787	0	126	0	0	0	0	0	869	444	0	0	0	0	162	0	0	0	D_0__k__Bacteria; D_1__p__Firmicutes; D_2__c__Bacilli; D_3__o__Lactobacillales; D_4__f__Streptococcaceae; D_5__g__Streptococcus; D_6__g__Streptococcus_s__mutans
26	0	64	0	789	0	0	0	160	0	0	289	117	0	0	0	37	14	104	0	54	0	0	97	0	106	258	0	0	0	89	854	0	446	596	0	95	0	224	50	63	1600	648	0	740	0	0	0	47	0	376	D_0__k__Bacteria; D_1__p__Firmicutes; D_2__c__Bacilli; D_3__o__Bacillales; D_4__f__Gemellaceae; D_5__g__Gemella; D_6__g__Gemella_s__haemolysans
27	338	4590	0	0	0	0	0	0	0	0	0	259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	2591	0	0	D_0__k__Bacteria; D_1__p__Proteobacteria; D_2__c__Betaproteobacteria; D_3__o__Neisseriales; D_4__f__Neisseriaceae; D_5__g__Neisseria; D_6__g__Neisseria_s__flava
28	1694	152	0	0	0	0	51	11	0	0	1296	676	0	54	0	165	222	65	0	0	0	0	175	0	916	278	0	0	0	0	0	0	483	0	0	0	444	49	0	0	0	0	0	0	0	0	0	0	518	0	D_0__k__Bacteria; D_1__p__Bacteroidetes; D_2__c__Bacteroidia; D_3__o__Bacteroidales; D_4__f__Prevotellaceae; D_5__g__Prevotella; D_6__g__Prevotella_s__nigrescens
29	14	0	68	324	0	1355	18	0	0	0	2756	514	159	31	0	0	0	0	86	0	356	0	120	0	0	0	0	0	241	0	0	0	84	0	0	0	0	0	468	0	0	0	0	85	171	0	0	0	240	0	D_0__k__Bacteria; D_1__p__Fusobacteria; D_2__c__Fusobacteriia; D_3__o__Fusobacteriales; D_4__f__Fusobacteriaceae; D_5__g__Fusobacterium; D_6__g__Fusobacterium_s__nucleatum
30	0	941	0	0	134	58	0	395	0	0	0	0	0	0	0	0	0	0	0	375	0	39	0	0	0	137	0	0	0	0	0	640	66	541	0	0	0	0	0	63	58	305	0	167	0	0	93	130	0	0	D_0__k__Bacteria; D_1__p__Proteobacteria; D_2__c__Betaproteobacteria; D_3__o__Burkholderiales; D_4__f__Burkholderiaceae; D_5__g__Lautropia; D_6__g__Lautropia_s__mirabilis
31	0	0	347	570	0	2224	0	0	0	0	0	1015	0	19	0	32	0	0	783	0	1010	0	0	14	611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	0	0	0	116	0	0	0	15	0	D_0__k__Bacteria; D_1__p__Firmicutes; D_2__c__Tissierellia; D_3__o__Tissierellales; D_4__f__Peptoniphilaceae; D_5__g__Parvimonas; D_6__g__Parvimonas_s__micra
32	0	0	0	676	17	0	45	133	0	0	156	131	0	0	0	0	0	0	0	46	0	0	0	9	109	204	0	0	0	80	627	0	381	548	0	103	0	171	0	0	1472	541	0	652	0	0	0	0	0	339	D_0__k__Bacteria; D_1__p__Firmicutes; D_2__c__Bacilli; D_3__o__Bacillales; D_4__f__Gemellaceae; D_5__g__Gemella; D_6__g__Gemella_s__haemolysans
33	0	484	0	131	83	0	0	161	0	0	69	140	0	61	0	0	0	0	0	71	0	0	0	0	0	187	0	0	0	663	0	0	46	247	0	184	0	0	0	56	0	146	0	0	433	874	48	375	52	125	D_0__k__Bacteria; D_1__p__Firmicutes; D_2__c__Bacilli; D_3__o__Lactobacillales; D_4__f__Aerococcaceae; D_5__g__Abiotrophia; D_6__g__Abiotrophia_s__defectiva
34	0	0	385	578	55	2077	0	0	0	0	0	850	0	0	15	0	0	13	658	0	859	0	10	0	417	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	135	0	0	0	118	0	0	7	0	0	D_0__k__Bacteria; D_1__p__Firmicutes; D_2__c__Tissierellia; D_3__o__Tissierellales; D_4__f__Peptoniphilaceae; D_5__g__Parvimonas; D_6__g__Parvimonas_s__micra
35	216	498	97	61	15	125	0	24	0	1126	196	113	21	19	0	22	1	7	52	529	0	0	89	9	27	3	0	0	56	12	0	154	13	164	1	24	6	15	0	0	22	15	0	750	49	1419	3	19	0	2	D_0__k__Bacteria; D_1__p__Firmicutes; D_2__c__Negativicutes; D_3__o__Veillonellales; D_4__f__Veillonellaceae; D_5__g__Veillonella; D_6__g__Veillonella_s__parvula
36	1358	120	0	10	0	13	0	0	0	0	1033	506	52	51	0	121	195	86	0	0	0	0	146	38	794	167	0	0	0	0	0	0	443	0	0	0	373	0	0	0	0	0	0	0	0	0	0	0	485	0	D_0__k__Bacteria; D_1__p__Bacteroidetes; D_2__c__Bacteroidia; D_3__o__Bacteroidales; D_4__f__Prevotellaceae; D_5__g__Prevotella; D_6__g__Prevotella_s__nigrescens
37	0	0	0	0	0	0	0	156	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	2990	1993	0	4	0	93	D_0__k__Bacteria; D_1__p__Bacteroidetes; D_2__c__Flavobacteriia; D_3__o__Flavobacteriales; D_4__f__Flavobacteriaceae; D_5__g__Capnocytophaga; D_6__g__Capnocytophaga_s__sputigena
38	0	748	0	79	40	10	0	49	0	0	0	84	0	51	0	0	0	12	0	285	0	0	102	0	0	25	0	0	0	150	0	373	73	287	0	256	0	39	252	106	0	0	0	0	124	1471	63	869	0	111	D_0__k__Bacteria; D_1__p__Bacteroidetes; D_2__c__Bacteroidia; D_3__o__Bacteroidales; D_4__f__Porphyromonadaceae; D_5__g__Porphyromonas; D_6__g__Porphyromonas_s__pasteri
39	0	0	0	0	0	0	0	240	0	629	0	0	0	0	0	574	0	0	0	150	0	87	0	0	68	292	35	0	0	0	0	0	45	261	0	0	0	0	151	0	0	0	0	794	0	0	0	0	0	353	D_0__k__Bacteria; D_1__p__Actinobacteria; D_2__c__Actinomycetia; D_3__o__Actinomycetales; D_4__f__Actinomycetaceae; D_5__g__Peptidiphaga; D_6__g__Peptidiphaga_s__sp._HMT_183
40	0	397	0	91	70	0	0	131	0	0	54	130	0	0	0	0	0	11	0	49	0	0	0	0	0	129	0	0	0	685	0	46	70	189	0	178	0	58	0	0	17	113	0	90	408	731	60	290	0	100	D_0__k__Bacteria; D_1__p__Firmicutes; D_2__c__Bacilli; D_3__o__Lactobacillales; D_4__f__Aerococcaceae; D_5__g__Abiotrophia; D_6__g__Abiotrophia_s__defectiva
41	0	0	1192	29	1120	0	51	0	0	0	0	275	0	0	0	0	0	0	52	63	0	0	26	0	82	279	0	0	0	0	0	0	0	0	0	0	89	0	522	79	0	0	0	212	0	0	120	56	81	135	D_0__k__Bacteria; D_1__p__Proteobacteria; D_2__c__Epsilonproteobacteria; D_3__o__Campylobacterales; D_4__f__Campylobacteraceae; D_5__g__Campylobacter; D_6__g__Campylobacter_s__gracilis
42	0	157	0	64	0	146	0	327	0	0	154	220	0	96	0	215	0	101	0	101	0	0	192	0	0	892	0	0	241	108	0	275	420	2	0	59	112	108	242	141	268	327	0	0	0	0	0	0	0	193	D_0__k__Bacteria; D_1__p__Fusobacteria; D_2__c__Fusobacteriia; D_3__o__Fusobacteriales; D_4__f__Fusobacteriaceae; D_5__g__Fusobacterium; D_6__g__Fusobacterium_s__nucleatum
43	0	608	0	63	0	58	0	0	0	0	0	95	0	0	0	133	0	113	56	127	0	0	141	0	270	51	729	0	0	0	0	125	49	722	50	0	0	55	44	187	205	0	0	847	0	0	0	89	0	0	D_0__k__Bacteria; D_1__p__Firmicutes; D_2__c__Bacilli; D_3__o__Lactobacillales; D_4__f__Streptococcaceae; D_5__g__Streptococcus; D_6__g__Streptococcus_s__gordonii
44	207	190	0	225	0	270	191	148	0	1018	227	128	0	22	0	0	5	52	7	145	0	0	0	0	90	184	312	0	0	107	0	278	59	190	0	92	0	161	0	31	135	0	0	58	0	0	0	111	0	156	D_0__k__Bacteria; D_1__p__Firmicutes; D_2__c__Bacilli; D_3__o__Lactobacillales; D_4__f__Carnobacteriaceae; D_5__g__Granulicatella; D_6__g__Granulicatella_s__adiacens
45	224	418	102	74	16	107	0	21	0	749	157	80	0	0	0	14	0	2	44	407	0	0	56	0	27	4	0	0	200	9	0	213	11	95	0	26	6	8	0	0	28	17	0	669	48	1291	11	23	0	1	D_0__k__Bacteria; D_1__p__Firmicutes; D_2__c__Negativicutes; D_3__o__Veillonellales; D_4__f__Veillonellaceae; D_5__g__Veillonella; D_6__g__Veillonella_s__parvula
46	0	29	0	0	2492	0	0	311	0	0	0	0	0	0	56	61	0	62	0	0	428	0	0	0	0	12	0	0	0	0	1386	0	0	0	0	0	0	0	0	78	0	0	0	0	1	0	0	0	94	0	D_0__k__Bacteria; D_1__p__Bacteroidetes; D_2__c__Bacteroidia; D_3__o__Bacteroidales; D_4__f__Bacteroidales_[F-2]; D_5__g__Bacteroidales_[G-2]; D_6__g__Bacteroidales_[G-2]_s__bacterium_HMT_274
47	0	719	0	0	0	20	0	378	0	0	0	332	0	0	0	0	0	468	0	483	0	0	0	0	0	38	0	0	0	0	0	458	0	0	0	0	0	0	154	164	0	0	0	0	0	0	0	0	0	0	D_0__k__Bacteria; D_1__p__Bacteroidetes; D_2__c__Flavobacteriia; D_3__o__Flavobacteriales; D_4__f__Flavobacteriaceae; D_5__g__Capnocytophaga; D_6__g__Capnocytophaga_s__sputigena
48	0	0	0	0	0	0	0	180	0	528	0	0	0	0	0	480	0	0	0	168	4	85	0	0	47	307	0	0	0	0	0	0	42	272	0	0	0	0	109	0	0	0	0	812	0	56	0	0	0	290	D_0__k__Bacteria; D_1__p__Actinobacteria; D_2__c__Actinomycetia; D_3__o__Actinomycetales; D_4__f__Actinomycetaceae; D_5__g__Peptidiphaga; D_6__g__Peptidiphaga_s__sp._HMT_183
49	1314	0	0	12	429	55	0	0	0	0	504	0	38	4	0	0	2	0	248	0	179	0	0	0	0	85	0	0	0	0	0	443	131	0	0	0	205	0	48	0	0	0	0	0	66	0	422	0	667	0	D_0__k__Bacteria; D_1__p__Firmicutes; D_2__c__Negativicutes; D_3__o__Veillonellales; D_4__f__Veillonellaceae; D_5__g__Dialister; D_6__g__Dialister_s__invisus
50	0	0	1429	0	0	0	0	0	0	0	0	0	0	0	152	0	0	0	0	0	2519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	508	0	0	0	0	0	0	0	234	0	0	0	0	0	D_0__k__Bacteria; D_1__p__Bacteroidetes; D_2__c__Bacteroidia; D_3__o__Bacteroidales; D_4__f__Tannerellaceae; D_5__g__Tannerella; D_6__g__Tannerella_s__forsythia
51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	4678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D_0__k__Bacteria; D_1__p__Proteobacteria; D_2__c__Betaproteobacteria; D_3__o__Neisseriales; D_4__f__Neisseriaceae; D_5__g__Neisseria; D_6__g__Neisseria_s__flava
52	0	108	0	64	0	122	0	260	0	0	102	208	54	0	0	160	0	0	0	95	0	0	136	0	0	661	0	0	588	65	0	227	445	0	0	41	96	101	183	126	291	313	0	0	0	0	0	0	0	112	D_0__k__Bacteria; D_1__p__Fusobacteria; D_2__c__Fusobacteriia; D_3__o__Fusobacteriales; D_4__f__Fusobacteriaceae; D_5__g__Fusobacterium; D_6__g__Fusobacterium_s__nucleatum
53	0	0	942	40	317	0	0	0	0	0	0	31	0	19	0	0	0	0	0	0	3134	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	0	D_0__k__Bacteria; D_1__p__Fusobacteria; D_2__c__Fusobacteriia; D_3__o__Fusobacteriales; D_4__f__Fusobacteriaceae; D_5__g__Fusobacterium; D_6__g__Fusobacterium_s__nucleatum
54	0	416	0	38	0	44	0	0	0	0	0	74	0	0	0	133	0	80	42	81	0	0	134	0	256	65	709	0	22	0	0	129	78	623	44	0	0	0	34	182	188	0	0	751	0	0	0	86	0	0	D_0__k__Bacteria; D_1__p__Firmicutes; D_2__c__Bacilli; D_3__o__Lactobacillales; D_4__f__Streptococcaceae; D_5__g__Streptococcus; D_6__g__Streptococcus_s__gordonii
55	163	167	0	211	69	284	156	119	0	852	220	117	0	0	0	0	0	0	0	96	0	0	51	0	141	166	207	0	114	105	0	153	57	145	0	0	17	144	26	35	121	0	0	0	0	0	49	87	0	119	D_0__k__Bacteria; D_1__p__Firmicutes; D_2__c__Bacilli; D_3__o__Lactobacillales; D_4__f__Carnobacteriaceae; D_5__g__Granulicatella; D_6__g__Granulicatella_s__adiacens
56	0	0	0	0	0	0	0	120	0	0	0	0	0	0	0	60	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	2540	1490	0	1	0	116	D_0__k__Bacteria; D_1__p__Bacteroidetes; D_2__c__Flavobacteriia; D_3__o__Flavobacteriales; D_4__f__Flavobacteriaceae; D_5__g__Capnocytophaga; D_6__g__Capnocytophaga_s__sputigena
57	0	0	0	0	0	0	0	0	627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D_0__k__Bacteria; D_1__p__Proteobacteria; D_2__c__Gammaproteobacteria; D_3__o__Enterobacterales; D_4__f__Enterobacteriaceae; D_5__g__Klebsiella; D_6__g__Klebsiella_s__pneumoniae
58	0	0	889	29	973	0	34	0	0	0	0	224	0	0	0	0	31	0	70	0	0	0	30	0	58	223	0	0	0	0	0	0	50	0	0	0	64	0	366	68	0	0	0	239	0	0	0	0	0	118	D_0__k__Bacteria; D_1__p__Proteobacteria; D_2__c__Epsilonproteobacteria; D_3__o__Campylobacterales; D_4__f__Campylobacteraceae; D_5__g__Campylobacter; D_6__g__Campylobacter_s__gracilis
59	0	167	0	0	0	0	26	99	0	450	0	84	0	0	0	0	32	51	226	0	1504	0	0	0	152	89	0	0	321	0	0	0	223	358	0	50	0	0	0	0	0	0	0	0	39	0	0	0	469	61	D_0__k__Bacteria; D_1__p__Proteobacteria; D_2__c__Epsilonproteobacteria; D_3__o__Campylobacterales; D_4__f__Campylobacteraceae; D_5__g__Campylobacter; D_6__g__Campylobacter_s__rectus
60	0	92	105	140	0	0	0	250	0	0	0	0	0	0	0	60	0	0	0	205	0	0	235	0	0	206	0	0	0	1009	0	0	74	385	0	0	66	144	0	0	224	317	0	0	0	862	0	63	0	0	D_0__k__Bacteria; D_1__p__Fusobacteria; D_2__c__Fusobacteriia; D_3__o__Fusobacteriales; D_4__f__Leptotrichiaceae; D_5__g__Leptotrichia; D_6__g__Leptotrichia_s__hongkongensis
61	0	27	0	0	0	0	0	0	0	1866	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	667	0	0	10	0	279	0	0	0	0	101	38	62	0	0	0	0	0	0	0	0	0	0	0	D_0__k__Bacteria; D_1__p__Firmicutes; D_2__c__Tissierellia; D_3__o__Tissierellales; D_4__f__Peptoniphilaceae; D_5__g__Parvimonas; D_6__g__Parvimonas_s__sp._HMT_110
62	0	145	0	0	0	0	0	118	0	961	0	0	0	0	0	0	0	47	186	106	1090	0	0	0	111	65	0	0	737	0	0	0	139	296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	288	0	D_0__k__Bacteria; D_1__p__Proteobacteria; D_2__c__Epsilonproteobacteria; D_3__o__Campylobacterales; D_4__f__Campylobacteraceae; D_5__g__Campylobacter; D_6__g__Campylobacter_s__rectus
63	0	75	0	122	55	13	44	83	0	0	0	47	0	0	0	307	0	295	0	477	0	0	0	0	0	93	0	0	0	516	0	326	311	595	0	15	40	42	185	124	0	0	0	112	0	0	0	29	0	67	D_0__k__Bacteria; D_1__p__Proteobacteria; D_2__c__Betaproteobacteria; D_3__o__Neisseriales; D_4__f__Neisseriaceae; D_5__g__Kingella; D_6__g__Kingella_s__oralis
64	0	69	55	68	0	0	0	234	0	1067	0	115	0	0	0	0	0	0	0	33	0	0	0	0	0	81	0	0	16	30	448	175	336	198	0	293	30	28	194	77	0	0	0	0	0	0	0	66	0	323	D_0__k__Bacteria; D_1__p__Proteobacteria; D_2__c__Gammaproteobacteria; D_3__o__Cardiobacteriales; D_4__f__Cardiobacteriaceae; D_5__g__Cardiobacterium; D_6__g__Cardiobacterium_s__hominis
65	1225	0	0	0	422	0	12	0	0	0	341	0	0	0	0	0	0	0	233	0	132	0	5	0	0	0	0	0	0	0	0	351	88	0	57	0	177	4	50	0	0	0	0	53	0	0	394	0	508	0	D_0__k__Bacteria; D_1__p__Firmicutes; D_2__c__Negativicutes; D_3__o__Veillonellales; D_4__f__Veillonellaceae; D_5__g__Dialister; D_6__g__Dialister_s__invisus
