"","Description.x","ID","Feature","group","Description.y"
"1","Quorum sensing","ko02024","K12295","Plaque","comE; two-component system, LytTR family, response regulator ComE"
"2","Quorum sensing","ko02024","K14982","Plaque","ciaH; two-component system, OmpR family, sensor histidine kinase CiaH [EC:2.7.13.3]"
"3","Quorum sensing","ko02024","K14983","Plaque","ciaR; two-component system, OmpR family, response regulator CiaR"
"4","Quorum sensing","ko02024","K20262","Plaque","phzG; dihydrophenazinedicarboxylate synthase [EC:1.10.3.16]"
"5","Quorum sensing","ko02024","K20261","Plaque","phzD; trans-2,3-dihydro-3-hydroxyanthranilic acid synthase [EC:3.3.2.15]"
"6","Quorum sensing","ko02024","K20391","Plaque","plcR; HTH-type transcriptional regulator, pleiotropic regulator of extracellular virulence genes"
"7","Quorum sensing","ko02024","K12990","Plaque","rfbF, rhlC; rhamnosyltransferase [EC:2.4.1.-]"
"8","Quorum sensing","ko02024","K20375","Plaque","ropB, rgg1; HTH-type transcriptional regulator, pheromone-responsive regulator"
"9","Quorum sensing","ko02024","K20342","Plaque","comR; HTH-type transcriptional regulator, regulator for ComX"
"10","Quorum sensing","ko02024","K03071","Plaque","secB; preprotein translocase subunit SecB"
"11","Quorum sensing","ko02024","K12293","Plaque","comB; competence factor transport accessory protein ComB"
"12","Quorum sensing","ko02024","K01497","Plaque","ribA, RIB1; GTP cyclohydrolase II [EC:3.5.4.25]"
"13","Quorum sensing","ko02024","K12292","Plaque","comA; ATP-binding cassette, subfamily C, bacterial, competence factor transporting protein [EC:3.4.22.-]"
"14","Quorum sensing","ko02024","K20480","Plaque","nprR, nprA; HTH-type transcriptional regulator, quorum sensing regulator NprR"
"15","Quorum sensing","ko02024","K20379","Plaque","cad; sex pheromone cAD1"
"16","Quorum sensing","ko02024","K01626","Plaque","E2.5.1.54, aroF, aroG, aroH; 3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]"
"17","Quorum sensing","ko02024","K01635","Plaque","lacD; tagatose 1,6-diphosphate aldolase [EC:4.1.2.40]"
"18","Quorum sensing","ko02024","K20488","Plaque","nisR, spaR; two-component system, OmpR family, lantibiotic biosynthesis response regulator NisR/SpaR"
"19","Quorum sensing","ko02024","K20487","Plaque","nisK, spaK; two-component system, OmpR family, lantibiotic biosynthesis sensor histidine kinase NisK/SpaK [EC:2.7.13.3]"
"20","Quorum sensing","ko02024","K12294","Plaque","comD; two-component system, LytTR family, sensor histidine kinase ComD [EC:2.7.13.3]"
"21","Quorum sensing","ko02024","K07645","Plaque","qseC; two-component system, OmpR family, sensor histidine kinase QseC [EC:2.7.13.3]"
"22","Quorum sensing","ko02024","K07707","Plaque","agrA, blpR, fsrA; two-component system, LytTR family, response regulator AgrA"
