Rank,pairing,taxon,Maaslin2_coef,Maaslin2_pval,Maaslin2_qval,Maaslin2_value,ANCOMBC2_DFF,ANCOMBC2_LFC,ANCOMBC2_p_val,ANCOMBC2_q_val,ANCOMBC2_passed_SS,Aldex2_Enrichment,Aldex2_EF,Aldex2_padj,confidence,all_positive_or_negative
genus,unpaired,Lancefieldella,-2.8236796487649034,4.3829987020313114e-4,0.003199589052482857,Plaque,NA,NA,NA,NA,NA,Abscess,-0.7566426025343258,0.04237274194672289,Medium,TRUE
genus,unpaired,Lautropia,2.902693742522636,7.166231336290877e-5,0.0011562193212606186,Plaque,NA,NA,NA,NA,NA,Plaque,0.8088029056430839,0.009522378748525377,Medium,TRUE
genus,unpaired,Leptotrichia,2.712674047542086,7.919310419593278e-5,0.0011562193212606186,Plaque,TRUE,1.764868889199951,5.646084559266778e-5,0.002879503125226057,FALSE,Plaque,0.6114827063322423,0.021984632345040413,High,TRUE
genus,unpaired,Mycoplasma,-1.162202827635796,0.01754514943089036,0.04269319694849987,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
genus,unpaired,Neisseria,3.0915065851836996,7.601493662992961e-4,0.004624241978320718,Plaque,NA,NA,NA,NA,NA,Plaque,0.4964564520880614,0.04937867753666076,Medium,TRUE
genus,unpaired,Peptidiphaga,2.2744499026020595,0.011742551167935964,0.03296947058689713,Plaque,TRUE,2.060273079666905,2.772339999865381e-5,0.001441616799929998,FALSE,NA,NA,NA,Medium,TRUE
genus,unpaired,Peptococcus,NA,NA,NA,NA,TRUE,-1.614673385611506,9.549968472175309e-6,5.156982974974666e-4,FALSE,NA,NA,NA,Low,TRUE
genus,unpaired,Peptostreptococcaceae G4,-0.9861887327364869,0.015345171276022036,0.03870147079718933,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
genus,unpaired,Riemerella,1.8036439178232977,0.0043545661986675996,0.01589416662513674,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
genus,unpaired,Rothia,3.5531711864172073,1.059228653567906e-4,0.0012887281951742856,Plaque,NA,NA,NA,NA,NA,Plaque,0.7332613948352567,0.010068549594542295,Medium,TRUE
genus,unpaired,Saccharibacteria TM7 G6,1.0954714841345552,0.007893153585371212,0.02505218311878689,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
genus,unpaired,Solobacterium,-2.3660484884827353,0.015374556892034118,0.03870147079718933,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
genus,unpaired,Streptococcus,1.2077936956647921,0.005888436022159573,0.019538901346256767,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
genus,unpaired,Treponema,-4.095144959438801,1.785502167764822e-4,0.0018620236892404574,Plaque,TRUE,-2.353296220869527,1.2284716563828414e-6,6.879441275743911e-5,TRUE,Abscess,-0.7558102848946471,0.0484521792376065,High,TRUE
genus,unpaired,Veillonella,1.4503132855681555,0.0143345059109989,0.03870147079718933,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
genus,unpaired,Veillonellaceae G1,-2.044969168527675,0.0037604507354508606,0.01589416662513674,Plaque,TRUE,-1.7460299745903656,2.3545001681766602e-5,0.00124788508913363,FALSE,NA,NA,NA,Medium,TRUE
genus,unpaired,Weeksellaceae G1,1.2301857108535326,0.0017211792566720599,0.008376405715804024,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
species,unpaired,Abiotrophia defectiva,2.7728777410418397,9.22113757602963e-4,0.012160375178389075,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
species,unpaired,Actinomyces dentalis,NA,NA,NA,NA,TRUE,1.5008226403765106,3.0804915058240236e-4,0.03665784891930588,FALSE,NA,NA,NA,Low,TRUE
species,unpaired,Actinomyces massiliensis,1.3751025360862832,0.0016780954536640413,0.016860863843957748,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
species,unpaired,Actinomyces oris,2.497108858603137,0.006951436478585949,0.03148877402074006,Plaque,TRUE,2.3875159562080204,6.157941691321949e-8,8.43638011711107e-6,FALSE,NA,NA,NA,Medium,TRUE
species,unpaired,Aggregatibacter sp HMT 458,NA,NA,NA,NA,TRUE,1.140487068915324,2.5876306880224885e-4,0.03156909439387436,FALSE,NA,NA,NA,Low,TRUE
species,unpaired,Alloprevotella sp HMT 473,2.3656122986666452,0.0025504096894062326,0.02103423593624769,Plaque,TRUE,2.207219964012769,4.32602660438411e-6,5.840135915918549e-4,FALSE,NA,NA,NA,Medium,TRUE
species,unpaired,Alloprevotella sp HMT 912,NA,NA,NA,NA,TRUE,1.4692848795238926,2.479271893176275e-4,0.030495044286068182,FALSE,NA,NA,NA,Low,TRUE
species,unpaired,Alloprevotella sp HMT 914,0.7920635743496324,0.00965369320246614,0.04073858531440711,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
species,unpaired,Alloprevotella tannerae,-3.315318753821053,3.325780324121495e-4,0.008771745604870443,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
species,unpaired,Arachnia propionica,1.316466743280084,0.011148243477582748,0.044382629693772824,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
species,unpaired,Bacteroidales G2 bacterium HMT 274,NA,NA,NA,NA,TRUE,-1.6902954819746592,7.430374675790484e-5,0.00965948707852763,FALSE,NA,NA,NA,Low,TRUE
species,unpaired,Capnocytophaga granulosa,2.014138944453392,0.007735522132943675,0.03400406604273157,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
species,unpaired,Capnocytophaga sputigena,2.3422062387279494,0.0021021215236775594,0.018481151728998543,Plaque,NA,NA,NA,NA,NA,Plaque,0.7650092825998138,0.0374923899750028,Medium,TRUE
species,unpaired,Cardiobacterium hominis,2.1379594177606176,0.009933603674929164,0.041097850498236346,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
species,unpaired,Corynebacterium durum,2.087208929420037,5.733862981037448e-4,0.012098450889989015,Plaque,TRUE,1.3636975758024144,3.0282236949968314e-4,0.03633868433996198,FALSE,NA,NA,NA,Medium,TRUE
species,unpaired,Corynebacterium matruchotii,1.8808366967793662,7.163187915241682e-4,0.012160375178389075,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
species,unpaired,Dialister invisus,-3.5187231332807634,8.7757016232924e-5,0.006172243475048988,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
species,unpaired,Dialister pneumosintes,-2.1958100116672012,0.0035009247890441454,0.02369530827490612,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
species,unpaired,Fretibacterium fastidiosum,-1.7576750257794005,0.00505761138133111,0.02808305267002274,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
species,unpaired,Fusobacterium hwasookii,NA,NA,NA,NA,TRUE,1.9675481664683128,2.4400317680566515e-5,0.00322084193383478,FALSE,NA,NA,NA,Low,TRUE
species,unpaired,Fusobacterium periodonticum,3.6216183987435806,2.163590379777741e-6,4.565175701331033e-4,Plaque,NA,NA,NA,NA,NA,Plaque,0.9939423899275931,0.011269069666003512,Medium,TRUE
species,unpaired,Gemella morbillorum,1.388547188273507,0.004298522543745648,0.025194118242509216,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
species,unpaired,Granulicatella elegans,1.7637574883278733,0.004170847358621236,0.025144251219116596,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
species,unpaired,Haemophilus parainfluenzae,2.6770028623266278,2.859006689709333e-4,0.008771745604870443,Plaque,NA,NA,NA,NA,NA,Plaque,0.6435859442075583,0.04605143273807841,Medium,TRUE
species,unpaired,Johnsonella ignava,NA,NA,NA,NA,TRUE,-1.4481423241501303,9.111653933155806e-5,0.011662917034439432,FALSE,NA,NA,NA,Low,TRUE
species,unpaired,Kingella oralis,2.055107497384845,0.0011672445293129615,0.013682699760279715,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
species,unpaired,Lachnoanaerobaculum umeaense,1.0572575389218641,0.00701408710414589,0.03148877402074006,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
species,unpaired,Lacticaseibacillus casei,NA,NA,NA,NA,TRUE,-2.4126587256352092,1.9722734957452477e-5,0.0026231237493411796,FALSE,NA,NA,NA,Low,TRUE
species,unpaired,Lautropia mirabilis,2.745906557465479,2.7000185693130724e-4,0.008771745604870443,Plaque,NA,NA,NA,NA,NA,Plaque,0.7321618647385645,0.03230737371770813,Medium,TRUE
species,unpaired,Leptotrichia buccalis,1.416239114556851,0.0057497278612930166,0.029590062895922597,Plaque,TRUE,1.2027533446736556,4.1365478003948294e-4,0.048811264044658985,FALSE,NA,NA,NA,Medium,TRUE
species,unpaired,Leptotrichia hofstadii,1.3757371243403587,0.001651090059020063,0.016860863843957748,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
species,unpaired,Leptotrichia shahii,NA,NA,NA,NA,TRUE,2.002698779264925,1.2549079995350352e-5,0.001681576719376947,FALSE,NA,NA,NA,Low,TRUE
species,unpaired,Leptotrichia sp HMT 215,1.204285923958854,0.004456540034429065,0.025414322899041424,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
species,unpaired,Leptotrichia sp HMT 498,1.1687340071502066,0.003993798963554374,0.02478504650911685,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
species,unpaired,Neisseria elongata,1.7563890205929797,0.006289672048087564,0.03148877402074006,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
species,unpaired,Neisseria flava,2.9148151339238524,7.766738554031395e-4,0.012160375178389075,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
species,unpaired,Neisseria subflava,2.886809199245361,0.0027856065907589235,0.02103423593624769,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
species,unpaired,Oribacterium sp HMT 078,-3.0640064412703256,1.2532643367599918e-4,0.0066109693764089565,Plaque,TRUE,-1.461320252401455,1.7769651584066982e-4,0.022212064480083726,FALSE,NA,NA,NA,Medium,TRUE
species,unpaired,Peptidiphaga sp HMT 183,NA,NA,NA,NA,TRUE,2.5947078455893244,9.839578355605307e-7,1.3381826563623218e-4,FALSE,NA,NA,NA,Low,TRUE
species,unpaired,Peptococcus sp HMT 167,-1.5744956229135076,0.002718962824021458,0.02103423593624769,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
species,unpaired,Peptostreptococcaceae G1 Eubacterium infirmum,-1.7008130326824127,0.003593601254962066,0.02369530827490612,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
species,unpaired,Porphyromonas catoniae,NA,NA,NA,NA,TRUE,1.097137989885914,2.976023873003123e-4,0.036009888863337794,FALSE,NA,NA,NA,Low,TRUE
species,unpaired,Porphyromonas endodontalis,-2.1419812611991813,0.0027912730152366604,0.02103423593624769,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
species,unpaired,Porphyromonas pasteri,2.4545602341212507,8.149757968624939e-4,0.012160375178389075,Plaque,TRUE,1.407025194184439,2.0324526977733606e-4,0.02520241345238967,FALSE,NA,NA,NA,Medium,TRUE
species,unpaired,Prevotella melaninogenica,1.5296207835185407,0.010943489017922841,0.044382629693772824,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
species,unpaired,Prevotella nigrescens,NA,NA,NA,NA,TRUE,-1.6226901028242489,1.7322539245880948e-4,0.021826399449809995,FALSE,NA,NA,NA,Low,TRUE
species,unpaired,Prevotella oris,-3.171627632800988,2.938642901624351e-4,0.008771745604870443,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
species,unpaired,Prevotella sp HMT 292,-2.4663769582052915,0.0012803110816755642,0.014218191485976002,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
species,unpaired,Riemerella sp HMT 322,1.706346729587079,0.006861266847833076,0.03148877402074006,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
species,unpaired,Rothia aeria,2.468446764884068,3.996646002281636e-4,0.009369914516460279,Plaque,TRUE,1.3597526697651665,9.242630315246766e-5,0.011738140500363392,FALSE,NA,NA,NA,Medium,TRUE
species,unpaired,Rothia dentocariosa,2.5633000178837704,0.005563686672501109,0.02934844719744335,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
species,unpaired,Saccharibacteria TM7 G6 bacterium HMT 870,1.1090317335607107,0.011893116589203868,0.046471251857815116,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
species,unpaired,Selenomonas sp HMT 134,-0.5640605491298158,0.006473205596190491,0.03148877402074006,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
species,unpaired,Solobacterium moorei,-2.664938078943839,0.008444651979208403,0.03636370546148924,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
species,unpaired,Streptococcus cristatus clade 578,3.630891115604223,7.050612017852982e-4,0.012160375178389075,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
species,unpaired,Streptococcus lactarius,1.6373322704285422,0.005526374021243927,0.02934844719744335,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
species,unpaired,Streptococcus oralis subsp dentisani clade 058,1.883067401657252,9.210771970453971e-4,0.012160375178389075,Plaque,TRUE,1.7318919854075057,7.499464700926194e-5,0.009674309464194791,FALSE,NA,NA,NA,Medium,TRUE
species,unpaired,Streptococcus sanguinis,2.648922390580401,2.356657054098846e-5,0.0024862731920742825,Plaque,TRUE,1.5283102956416745,4.866868724662321e-5,0.006375598029307641,FALSE,Plaque,0.8514909229511963,0.011854105340548697,High,TRUE
species,unpaired,Treponema denticola,-1.632022367786246,0.0033425767547469267,0.023509456508386716,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
species,unpaired,Treponema lecithinolyticum,-2.0522534540322455,0.0038712399675827477,0.02475247373211999,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
species,unpaired,Treponema maltophilum,-2.3006884423179703,0.0010954913806510297,0.01359698125396278,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
species,unpaired,Treponema socranskii,-2.1036546674907126,0.0020738520018257307,0.018481151728998543,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
species,unpaired,Treponema sp HMT 231,-1.7452322068700417,0.002064079189056101,0.018481151728998543,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
species,unpaired,Veillonellaceae G1 bacterium HMT 150,-1.4137329338467617,0.003132964383254515,0.022795016719541473,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
species,unpaired,Weeksellaceae G1 sp HMT 907,1.4218779460415172,0.00689135154201973,0.03148877402074006,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
