feature	p__Proteobacteria	p__Bacteroidetes	p__Spirochaetes	p__Firmicutes	p__Fusobacteria	p__Actinobacteria	p__Synergistetes	p__Tenericutes	p__Chloroflexi
SRR9214876	6.08718651735275	3.6991909651993	-4.94797730263869	3.77882830580741	1.880734769003	4.34596865319229	-4.94797730263869	-4.94797730263869	-4.94797730263869
SRR9214849	1.74813147997682	4.61079334973547	0.568827858337668	1.25821916593781	2.12158136111855	1.04630117684341	1.45370239397844	-6.40377839296409	-6.40377839296409
SRR9214858	1.06345371084025	4.74501115328198	5.08637205948016	4.24916747906295	1.25876246316102	0.701988931994524	-5.70158526594029	-5.70158526594029	-5.70158526594029
SRR9214820	0.466495291260446	2.49724323148667	1.46945753139525	1.4470059207232	1.07595609464137	-2.24762618588019	-0.0739130279920714	-2.31473210252301	-2.31988675311167
SRR9214847	0.593746047365205	3.5005902825734	1.81966008156422	1.96057134773312	2.53717726604845	-1.18681123664434	0.532552589615507	-7.15039058026278	-2.60709579799278
SRR9214816	1.00702442640739	3.25418602888013	-2.7165273103302	2.67850112347984	-2.66196832607976	0.969310138395896	0.789843653630982	-1.79464476519026	-1.52572496919401
SRR9214825	0.617678815197012	3.55555103974351	2.64661120328274	2.28044335163227	2.50176594016197	-2.11250556007246	0.881081557135138	-7.05414798268177	-3.3164783643984
SRR9214819	-0.557532394075917	2.69071017362286	1.8591006440724	2.23527185591202	0.515355003353757	-0.0707292778005493	-0.255124121495737	-1.89870631991534	-4.51834556367349
SRR9214852	-0.331273343808207	4.74001164117874	2.3963705511944	3.96716072062483	2.8083813536052	-5.72034507362471	-2.46224853560323	0.322287760057674	-5.72034507362471
SRR9214813	-1.10691342967543	3.37394910317872	0.80894873702019	3.94360648280437	1.73500594483479	-0.857101631279061	0.448857581749943	-1.83676197708581	-6.50959081154771
SRR9214841	0.258173333619236	3.11733587014843	1.39631782606118	1.29692008894116	1.08903622010941	-2.26386429674381	0.632338381463147	-1.87609876573505	-3.6501586578637
SRR9214823	3.59862668225544	4.76244252192801	0.987244341583768	2.31241065990224	0.355152316277829	0.0479981404132277	-0.985373626386481	-5.53925051798702	-5.53925051798702
SRR9214834	-0.314448894748549	2.85678050624868	2.02407453823495	1.35587738736056	0.332818680060702	-2.65822974418086	0.588661182281806	-0.615675192308088	-3.56985846294921
SRR9214824	1.93547603573689	2.62068153636303	-1.30873646486213	4.21332804438708	-0.213273785096918	3.72496410216512	-1.86130169480089	-3.13896221491798	-5.9721755589742
SRR9214851	1.27071443274039	4.20537655094418	1.6355225083874	2.81528711885574	1.58910067153615	-0.0515983551816935	0.40543856005778	-5.93492074366997	-5.93492074366997
SRR9214846	3.84933788745237	2.49046448503703	-0.134539358847437	4.03015105805296	0.290442703079747	0.745631246540342	-2.16629306974156	-3.00707624910757	-6.09811870246588
SRR9214865	1.29810388214477	3.06878910298064	1.04853691175795	1.371039346836	1.93367486269318	-0.0755382420714086	0.447208307329142	-7.01672829713978	-2.07508587453048
SRR9214857	-2.01325951909081	2.98302326878104	0.872239274063476	1.970153482424	2.88630453973965	-0.742796973496046	-0.918822601833186	-0.513357493725021	-4.5234839768631
SRR9214845	0.461859849941416	3.50077447381436	0.617944392293625	2.58785220254447	1.43929581839416	0.846329207340535	-3.05104152130074	-3.11356187828207	-3.28945254474574
SRR9214888	-0.0641653407695465	2.21615578279	1.60049571423601	1.46157491003503	0.754760943694358	-1.91356116918479	0.96144556444237	-2.04709256180932	-2.96961384343411
SRR9214835	0.757582204737879	2.66247580621252	1.94237405776013	1.83312446922499	0.88314054071289	-7.3361855531932	1.59984954337284	-1.36747799320784	-0.974883075620206
SRR9214870	-0.894929591288474	2.36120166604805	1.80109395385904	1.51843325477355	1.16884669476536	-0.513306672143069	-0.959817213494349	-1.0751590971102	-3.4063629954099
SRR9214828	5.55581906411349	3.12430941923974	-4.30104846778741	5.30403304893396	1.94892677447208	1.27110556439036	-4.30104846778741	-4.30104846778741	-4.30104846778741
SRR9214815	2.13566006518983	1.86610314215679	0.79153952801795	2.47681390848912	-1.28704352169329	1.66579080541555	-0.214707860756342	-3.06291162358471	-4.37124444323489
SRR9214850	1.66343459280135	3.38521247563172	1.27449390908337	3.35978965979561	1.76033934598985	-0.672734052594021	-2.06211008025132	-6.45655923492376	-2.25186661553279
SRR9214829	4.3075513591604	2.80487574006748	-1.60943655810437	3.63649042124174	3.25937912250726	4.04305262216428	-5.48063756901226	-5.48063756901226	-5.48063756901226
SRR9214874	4.55993372325744	3.88141415433503	-0.281742193020029	3.77049353883315	1.72373381650348	1.9072178744663	-5.18701697145846	-5.18701697145846	-5.18701697145846
SRR9214868	3.98202410198025	4.36043088654633	-4.63844743888948	5.07054475592098	2.43905061467975	2.70173939643063	-4.63844743888948	-4.63844743888948	-4.63844743888948
SRR9214818	-0.366537853553618	2.25542238568243	1.96349869191566	1.33023500811044	0.853486659782825	-3.58757350647525	1.05421525744817	-1.19460435201293	-2.30814229089772
SRR9214833	3.47736024391214	4.3675298698018	-1.74781022696172	3.70414748513355	2.79129646618648	2.64752037333852	-5.08001473713693	-5.08001473713693	-5.08001473713693
SRR9214866	4.33114835664827	3.23924300123688	-4.47677226540571	4.45226564108273	1.2203212210997	4.66411084155525	-4.47677226540571	-4.47677226540571	-4.47677226540571
SRR9214831	2.70341520023658	2.56952329568122	-0.593263062535941	3.78049081065083	3.84563785470733	0.826553990622593	-4.3774526964542	-4.3774526964542	-4.3774526964542
