feature	p__Proteobacteria	p__Bacteroidetes	p__Spirochaetes	p__Firmicutes	p__Fusobacteria	p__Actinobacteria	p__Synergistetes	p__Tenericutes	p__Chloroflexi
SRR9214876	2.60577557208109	1.88720977935746	NA	1.91793897004339	0.911296406849273	2.11967776861788	NA	NA	NA
SRR9214849	0.805813696495873	2.20501500732591	-0.813935972227139	0.331383243419018	1.08514000600622	0.0652981898222302	0.539731946920651	NA	NA
SRR9214858	0.0887572381931837	2.24641147834558	2.34663699658064	2.08718020796088	0.332006062602727	-0.510479810628882	NA	NA	NA
SRR9214820	-1.10006557610291	1.32033634660445	0.555283664446327	0.533070824966057	0.10561920862362	NA	NA	NA	NA
SRR9214847	-0.752082090709	1.80759821518262	0.863668975455405	0.97127414435274	1.34322432031428	NA	-0.909004096250768	NA	NA
SRR9214816	0.0100986778128304	1.70229672650875	NA	1.42142590118671	NA	-0.044969753769275	-0.340360989007913	NA	NA
SRR9214825	-0.695071244096196	1.83007316622975	1.40414627330173	1.18931433273271	1.32294682037373	NA	-0.182652526787573	NA	NA
SRR9214819	NA	1.42798700131076	0.894604873955	1.16045030403721	-0.956361516697007	NA	NA	NA	NA
SRR9214852	NA	2.24489060229868	1.26085100956091	1.98810684622317	1.489738854303	NA	NA	-1.63357869655944	NA
SRR9214813	NA	1.75443821039326	-0.305879812738935	1.97951559795537	0.794940606070955	NA	-1.15567033075805	NA	NA
SRR9214841	-1.95358810060187	1.64031360318041	0.481627361242512	0.375089589196401	0.123051937253393	NA	-0.661231304497686	NA	NA
SRR9214823	1.84744644635994	2.25170168077818	-0.0185209010216232	1.20939762811293	-1.49349020038255	-4.38087767703643	NA	NA	NA
SRR9214834	NA	1.51439019458328	1.01726241946002	0.439226720771552	-1.58719168522258	NA	-0.764490598841854	NA	NA
SRR9214824	0.952688444887997	1.38994204888784	NA	2.07496024668249	NA	1.89722652225187	NA	NA	NA
SRR9214851	0.345639850359705	2.07223498570224	0.709751614214597	1.4932820639844	0.668210524135993	NA	-1.30244478911504	NA	NA
SRR9214846	1.94461031369403	1.31641483778172	NA	2.01083391483751	-1.783674510038	-0.423465775822967	NA	NA	NA
SRR9214865	0.376405841163074	1.61766950258557	0.0683776496775265	0.455269974961497	0.951345233587185	NA	-1.16098110699419	NA	NA
SRR9214857	NA	1.57677523131848	-0.197204143196375	0.978308025471853	1.52922352948697	NA	NA	NA	NA
SRR9214845	-1.11447295854682	1.80767412375165	-0.694451076453125	1.37175522446143	0.525363139590135	-0.240709139092011	NA	NA	NA
SRR9214888	NA	1.14805929797519	0.678518813679037	0.547523773424834	-0.405908324567321	NA	-0.0567229181669452	NA	NA
SRR9214835	-0.400525651934729	1.41276841569874	0.957821058280187	0.874304748254806	-0.179285051967723	NA	0.677936234339939	NA	NA
SRR9214870	NA	1.23952126485442	0.848873441228122	0.602583493870183	0.22508571925745	NA	NA	NA	NA
SRR9214828	2.47399961595777	1.6435373393625	NA	2.4070897647764	0.962679886342041	0.346083850089686	NA	NA	NA
SRR9214815	1.09468203031514	0.900028728186331	-0.337266697207734	1.30848547803712	NA	0.736207234473293	NA	NA	NA
SRR9214850	0.734165139742686	1.75924638857721	0.349924478612201	1.7483709156622	0.815853568399763	NA	NA	NA	NA
SRR9214829	2.10686799788128	1.48793685883431	NA	1.86254677614979	1.70459717237396	2.01544498106234	NA	NA	NA
SRR9214874	2.18901285556925	1.95658237966473	NA	1.91475337745275	0.785537006874989	0.93146966192941	NA	NA	NA
SRR9214868	1.99350195327895	2.12447070545363	NA	2.34214075205042	1.2863196969573	1.43388852232857	NA	NA	NA
SRR9214818	NA	1.17339764042761	0.973426636880085	0.411681144286437	-0.228559491154642	NA	0.0761694771701478	NA	NA
SRR9214833	1.79799253361251	2.1268175698547	NA	1.88914154239803	1.48093536252024	1.40464178616336	NA	NA	NA
SRR9214866	2.11474959049253	1.69565670015819	NA	2.15453967256299	0.287260953599159	2.2216020742721	NA	NA	NA
SRR9214831	1.43478310318636	1.36150073189065	NA	1.91857354770701	1.94322290989117	-0.27481903524944	NA	NA	NA
