Taxon,pval,FDR
g__Roseomonas_s__mucosa,0.01698221635350756,0.08935880509821836
g__Capnocytophaga_s__granulosa,0.01794216890376888,0.09221440297053309
g__Treponema_s__parvum,0.01794216890376888,0.09221440297053309
g__Olsenella_s__profusa,0.01894834517424372,0.09410301760691825
g__Prevotella_s__multiformis,0.01894834517424372,0.09410301760691825
g__Stomatobaculum_s__sp._HMT_373,0.01894834517424372,0.09410301760691825
g__Porphyromonas_s__uenonis,0.021106435839668515,0.09423277415286346
g__Haemophilus_s__sp._HMT_036,0.021106435839668515,0.09423277415286346
g__Butyrivibrio_s__sp._HMT_080,0.021106435839668515,0.09423277415286346
g__Leptotrichia_s__hofstadii,0.021106435839668515,0.09423277415286346
g__Shuttleworthia_s__satelles,0.021106435839668515,0.09423277415286346
g__Actinomyces_s__johnsonii,0.021106435839668515,0.09423277415286346
g__Lentilactobacillus_s__buchneri,0.020002501381757992,0.09423277415286346
g__Prevotella_s__dentalis,0.020002501381757992,0.09423277415286346
g__Catonella_s__sp._HMT_451,0.020002501381757992,0.09423277415286346
g__Haemophilus_s__influenzae,0.020002501381757992,0.09423277415286346
g__Schaalia_s__sp._HMT_180,0.022261988143200347,0.0974237500920253
g__Capnocytophaga_s__sp._HMT_338,0.022261988143200347,0.0974237500920253
g__Parvimonas_s__micra,0.023471039415549563,0.1007203827346884
g__Actinomyces_s__sp._HMT_525,0.023471039415549563,0.1007203827346884
g__Bacteroidetes_[G-3]_s__bacterium_HMT_365,0.024735511330496913,0.10412472388647272
g__Peptostreptococcaceae_[G-9]_s__[Eubacterium]_brachy,0.024735511330496913,0.10412472388647272
g__Scardovia_s__wiggsiae,0.026057366229075243,0.10664218401158572
g__Actinomyces_s__naeslundii,0.026057366229075243,0.10664218401158572
g__Porphyromonas_s__sp._HMT_277,0.026057366229075243,0.10664218401158572
g__Lacticaseibacillus_s__casei,0.028881271831140226,0.11605020135785438
g__Klebsiella_s__pneumoniae,0.028881271831140226,0.11605020135785438
g__Clostridiales_[F-3][G-1]_s__bacterium_HMT_876,0.047161706806839204,0.11844019550353936
g__Streptococcus_s__sobrinus,0.03894625361160914,0.11844019550353936
g__Fannyhessea_s__sp._HMT_416,0.040879170090847135,0.11844019550353936
g__Prevotella_s__melaninogenica,0.033598809077048916,0.11844019550353936
g__Prevotella_s__denticola,0.042891146371170114,0.11844019550353936
g__Prevotella_s__histicola,0.04498453253283139,0.11844019550353936
g__Prevotella_s__veroralis,0.03894625361160914,0.11844019550353936
g__Porphyromonas_s__gingivalis,0.04498453253283139,0.11844019550353936
g__Riemerella_s__sp._HMT_322,0.030387443310364606,0.11844019550353936
g__Prevotella_s__koreensis,0.04498453253283139,0.11844019550353936
g__Streptococcus_s__lactarius,0.047161706806839204,0.11844019550353936
g__Prevotella_s__buccae,0.030387443310364606,0.11844019550353936
g__Prevotella_s__fusca,0.03530834704483341,0.11844019550353936
g__Scardovia_s__inopinata,0.03195923778898568,0.11844019550353936
g__Limosilactobacillus_s__reuteri_clade_938,0.033598809077048916,0.11844019550353936
g__Lachnoanaerobaculum_s__umeaense,0.03894625361160914,0.11844019550353936
g__Treponema_s__sp._HMT_253,0.03530834704483341,0.11844019550353936
g__Pseudoramibacter_s__alactolyticus,0.033598809077048916,0.11844019550353936
g__Bulleidia_s__extructa,0.03709007588957959,0.11844019550353936
g__Bacteroidetes_[G-3]_s__bacterium_HMT_503,0.047161706806839204,0.11844019550353936
g__Desulfobulbus_s__sp._HMT_041,0.03195923778898568,0.11844019550353936
g__Lachnospiraceae_[G-8]_s__bacterium_HMT_500,0.047161706806839204,0.11844019550353936
g__Bifidobacterium_s__breve,0.04498453253283139,0.11844019550353936
g__Colibacter_s__massiliensis,0.03195923778898568,0.11844019550353936
g__Eggerthia_s__catenaformis,0.033598809077048916,0.11844019550353936
g__Brucella_s__anthropi,0.047161706806839204,0.11844019550353936
g__Treponema_s__sp._HMT_228,0.047161706806839204,0.11844019550353936
g__Lactobacillus_s__acidophilus,0.047161706806839204,0.11844019550353936
g__Peptostreptococcaceae_[G-5]_s__bacterium_HMT_493,0.047161706806839204,0.11844019550353936
g__Treponema_s__sp._HMT_257,0.03530834704483341,0.11844019550353936
g__Lawsonella_s__clevelandensis,0.047161706806839204,0.11844019550353936
g__Lachnoanaerobaculum_s__sp._HMT_089,0.04498453253283139,0.11844019550353936
g__Treponema_s__sp._HMT_252,0.047161706806839204,0.11844019550353936
g__Treponema_s__sp._HMT_262,0.042891146371170114,0.11844019550353936
g__Prevotella_s__sp._HMT_304,0.04498453253283139,0.11844019550353936
g__Lactobacillus_s__crispatus,0.040879170090847135,0.11844019550353936
g__Bacteroides_s__zoogleoformans,0.047161706806839204,0.11844019550353936
g__Treponema_s__sp._HMT_226,0.042891146371170114,0.11844019550353936
g__Dietzia_s__cinnamea,0.04498453253283139,0.11844019550353936
g__Corynebacterium_s__tuberculostearicum,0.047161706806839204,0.11844019550353936
g__Mycoplasma_s__faucium,0.047161706806839204,0.11844019550353936
g__Cloacibacterium_s__normanense,0.047161706806839204,0.11844019550353936
g__Schaalia_s__georgiae,0.047161706806839204,0.11844019550353936
g__Prevotella_s__sp._HMT_376,0.04498453253283139,0.11844019550353936
g__Bacteroidetes_[G-3]_s__bacterium_HMT_280,0.047161706806839204,0.11844019550353936
g__Anaerolineae_[G-1]_s__bacterium_HMT_439,0.04498453253283139,0.11844019550353936
g__Kocuria_s__rhizophila,0.047161706806839204,0.11844019550353936
g__Clostridiales_[F-1][G-1]_s__bacterium_HMT_093,0.047161706806839204,0.11844019550353936
g__Treponema_s__sp._HMT_235,0.047161706806839204,0.11844019550353936
g__Desulfovibrio_s__fairfieldensis,0.047161706806839204,0.11844019550353936
g__Paracoccus_s__yeei,0.047161706806839204,0.11844019550353936
g__Lacticaseibacillus_s__paracasei,0.047161706806839204,0.11844019550353936
g__Fastidiosipila_s__sanguinis,0.047161706806839204,0.11844019550353936
g__Selenomonas_s__sp._HMT_442,0.047161706806839204,0.11844019550353936
g__Desulfovibrio_s__sp._HMT_040,0.047161706806839204,0.11844019550353936
g__Treponema_s__sp._HMT_270,0.047161706806839204,0.11844019550353936
g__Fretibacterium_s__sp._HMT_362,0.047161706806839204,0.11844019550353936
g__Peptostreptococcaceae_[G-5]_s__[Eubacterium]_saphenum,0.047161706806839204,0.11844019550353936
g__Enterococcus_s__casseliflavus,0.047161706806839204,0.11844019550353936
g__Butyrivibrio_s__sp._HMT_455,0.047161706806839204,0.11844019550353936
g__Treponema_s__sp._HMT_251,0.047161706806839204,0.11844019550353936
g__Selenomonas_s__sp._HMT_478,0.04498453253283139,0.11844019550353936
g__Fretibacterium_s__sp._HMT_361,0.047161706806839204,0.11844019550353936
g__Bacteroidetes_[G-5]_s__bacterium_HMT_505,0.047161706806839204,0.11844019550353936
g__Treponema_s__sp._HMT_271,0.047161706806839204,0.11844019550353936
g__Prevotella_s__scopos,0.047161706806839204,0.11844019550353936
g__Neisseria_s__cinerea,0.04942507322512223,0.12272967621069679
g__Campylobacter_s__curvus,0.04942507322512223,0.12272967621069679
g__Bosea_s__vestrisii,0.05177706055221734,0.1271414486893337
g__Prevotella_s__sp._HMT_396,0.05177706055221734,0.1271414486893337
g__Prevotella_s__intermedia,0.05422011973701823,0.13095788482930085
g__Actinomyces_s__sp._HMT_169,0.05422011973701823,0.13095788482930085
g__Prevotella_s__loescheii,0.05422011973701823,0.13095788482930085
g__Peptostreptococcus_s__stomatis,0.05675672264379962,0.1341522535217082
g__Schaalia_s__lingnae,0.05675672264379962,0.1341522535217082
g__Peptoniphilus_s__lacrimalis,0.05675672264379962,0.1341522535217082
g__Treponema_s__sp._HMT_230,0.05675672264379962,0.1341522535217082
g__Veillonella_s__sp._HMT_780,0.05938935929835025,0.13888940111042758
g__Veillonellaceae_[G-1]_s__bacterium_HMT_155,0.05938935929835025,0.13888940111042758
g__Gemella_s__haemolysans,0.06212053644420162,0.14153235622854182
g__Lachnoanaerobaculum_s__saburreum,0.06212053644420162,0.14153235622854182
g__Treponema_s__sp._HMT_268,0.06212053644420162,0.14153235622854182
g__Stomatobaculum_s__sp._HMT_910,0.06212053644420162,0.14153235622854182
g__Treponema_s__pectinovorum,0.06212053644420162,0.14153235622854182
g__Leptotrichia_s__buccalis,0.06495277456675426,0.1435456317925269
g__Capnocytophaga_s__leadbetteri,0.06495277456675426,0.1435456317925269
g__Neisseria_s__sp._HMT_523,0.06495277456675426,0.1435456317925269
g__Mycolicibacterium_s__neoaurum,0.06495277456675426,0.1435456317925269
g__Corynebacterium_s__simulans,0.06495277456675426,0.1435456317925269
g__Propionibacteriaceae_[G-2]_s__bacterium_HMT_192,0.06495277456675426,0.1435456317925269
g__Prevotella_s__oralis,0.06788860626841411,0.1492873829385027
g__Leptotrichia_s__hongkongensis,0.07093057310346254,0.1514556198634321
g__Fusobacterium_s__naviforme,0.07093057310346254,0.1514556198634321
g__Prevotella_s__maculosa,0.07093057310346254,0.1514556198634321
g__Alloprevotella_s__sp._HMT_473,0.07093057310346254,0.1514556198634321
g__Leptotrichia_s__sp._HMT_218,0.07093057310346254,0.1514556198634321
g__Treponema_s__sp._HMT_517,0.07093057310346254,0.1514556198634321
g__Rothia_s__dentocariosa,0.07734311068451724,0.15193624410025164
g__Porphyromonas_s__asaccharolytica,0.07734311068451724,0.15193624410025164
g__Treponema_s__sp._HMT_247,0.07734311068451724,0.15193624410025164
g__Peptostreptococcaceae_[G-7]_s__bacterium_HMT_081,0.07734311068451724,0.15193624410025164
g__Treponema_s__sp._HMT_236,0.07734311068451724,0.15193624410025164
g__Prevotella_s__buccalis,0.07734311068451724,0.15193624410025164
g__Anaerococcus_s__prevotii,0.07734311068451724,0.15193624410025164
g__Peptoniphilus_s__sp._HMT_187,0.07734311068451724,0.15193624410025164
g__Peptoniphilus_s__sp._HMT_386,0.07734311068451724,0.15193624410025164
g__Aeriscardovia_s__bacterium_HMT_407,0.07734311068451724,0.15193624410025164
g__Dialister_s__micraerophilus,0.07734311068451724,0.15193624410025164
g__Paenibacillus_s__glucanolyticus,0.07734311068451724,0.15193624410025164
g__Clostridiales_[F-1][G-2]_s__bacterium_HMT_402,0.07734311068451724,0.15193624410025164
g__Listeria_s__monocytogenes,0.07734311068451724,0.15193624410025164
g__Treponema_s__sp._HMT_238,0.07734311068451724,0.15193624410025164
g__Streptococcus_s__downei,0.07408122375681671,0.15193624410025164
g__Mesorhizobium_s__japonicum,0.07734311068451724,0.15193624410025164
g__Peptoniphilaceae_[G-3]_s__bacterium_HMT_929,0.07734311068451724,0.15193624410025164
g__Streptococcus_s__mutans,0.08071878813169514,0.15717050376303635
g__Campylobacter_s__concisus,0.08071878813169514,0.15717050376303635
g__Leptotrichia_s__shahii,0.08782172054942816,0.16517957652275425
g__Lactobacillus_s__ultunensis,0.08782172054942816,0.16517957652275425
g__Alloiococcus_s__otitis,0.08782172054942816,0.16517957652275425
g__Actinomyces_s__graevenitzii,0.08782172054942816,0.16517957652275425
g__Ligilactobacillus_s__salivarius,0.08782172054942816,0.16517957652275425
g__Neisseria_s__sp._HMT_018,0.08782172054942816,0.16517957652275425
g__Ralstonia_s__pickettii,0.08782172054942816,0.16517957652275425
g__Prevotella_s__aurantiaca,0.08782172054942816,0.16517957652275425
g__Catonella_s__morbi,0.09155406497285541,0.17074639965401728
g__Capnocytophaga_s__sp._HMT_903,0.09155406497285541,0.17074639965401728
g__Prevotella_s__bivia,0.09541037277353072,0.17283354412254334
g__Peptoniphilus_s__sp._HMT_375,0.09541037277353072,0.17283354412254334
g__Porphyromonas_s__catoniae,0.09541037277353072,0.17283354412254334
g__Pedobacter_s__sp._HMT_318,0.09541037277353072,0.17283354412254334
g__Cutibacterium_s__avidum,0.09541037277353072,0.17283354412254334
g__Cutibacterium_s__sp._HMT_193,0.09541037277353072,0.17283354412254334
g__Dialister_s__sp._HMT_119,0.09541037277353072,0.17283354412254334
g__Aggregatibacter_s__sp._HMT_458,0.09939316102723568,0.1785844600570657
