Taxa_clean,A,P
Prevotella,20,5
Treponema,22,3
Dialister,21,4
Oribacterium,17,8
Lancefieldella,22,3
Solobacterium,19,6
Veillonellaceae G-1,18,7
Fretibacterium,20,5
Lactobacillus,20,5
Bacteroidetes G-3,21,4
Abiotrophia,3,22
Kingella,5,20
Rothia,4,21
Corynebacterium,3,22
Actinomyces,4,21
Lautropia,4,21
Haemophilus,6,19
Capnocytophaga,7,18
Leptotrichia,4,21
Neisseria,7,18
